  Run_nr	    Time	   Alpha	    Beta	Delta_Pb	   P_bar	       T	      B1	      B2	      B3	      B4	      B5	      B6	     rpm	     Rho	       Q	       V	      Re	 nrotor1	 nrotor2	      I1	      I2	    dptq	  Extra1	  Extra2	  Extra3	  Extra4	  Extra5	  Extra6	  Extra7	  Extra8	  Extra9	 Extra10
       /	   H:M:S	 degrees	 degrees	      Pa	     hPa	 degr._C	   steps	   steps	   steps	   steps	   steps	   steps	   1/min	  kg/m^3	      Pa	     m/s	       /	     1/s	     1/s	       A	       A	      Pa	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /
      40	 16:31:09	  -0.004	   0.000	  104.97	 1002.11	   11.39	  -129.5	   -71.5	    71.4	    96.7	   -25.5	    28.5	 241.942	   1.227	   244.9	    20.0	  228263	   61.50	   61.51	    2.57	    2.94	    0.00	  18.702	  18.151	  29.519	  28.281	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
      41	 16:31:54	  -3.996	   0.000	  105.03	 1002.11	   11.34	   -58.8	   -51.3	  -165.2	  -144.2	   150.6	    21.3	 241.994	   1.227	   245.0	    20.0	  228383	   61.50	   61.50	    2.87	    2.44	    0.00	  17.919	  17.496	  29.442	  28.272	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
      42	 16:32:59	   7.996	   0.000	  104.95	 1002.16	   11.31	    81.6	   -25.8	   440.4	   416.8	    73.5	    13.5	 244.001	   1.227	   244.8	    20.0	  228332	   61.50	   61.50	    2.68	    2.81	    0.00	  17.226	  16.983	  29.500	  28.343	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
      43	 16:33:53	   7.996	   0.000	  105.53	 1002.16	   11.25	   361.1	   -29.7	   386.9	   373.8	   299.4	    15.6	 244.989	   1.228	   246.2	    20.0	  229027	   51.80	   51.80	    1.25	    1.17	    0.00	  16.825	  16.673	  26.760	  26.673	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
      44	 16:34:45	   0.004	   0.000	  105.33	 1002.20	   11.23	   171.5	   -44.8	    33.0	    49.7	   201.2	    14.0	 242.985	   1.228	   245.7	    20.0	  228832	   51.80	   51.80	    1.29	    1.16	    0.00	  16.404	  16.191	  26.662	  26.613	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
      45	 16:35:29	  -4.000	   0.000	  105.49	 1002.21	   11.23	   221.0	   -23.9	  -199.4	  -185.5	   357.2	     4.6	 242.990	   1.228	   246.1	    20.0	  229005	   51.80	   51.80	    1.26	    1.14	    0.00	  16.046	  15.767	  26.702	  26.660	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
      46	 16:36:27	  -4.000	   0.000	  105.19	 1002.23	   11.23	   362.9	    -2.2	  -213.4	  -207.4	   462.1	   -10.1	 242.986	   1.228	   245.4	    20.0	  228680	   44.70	   44.70	    0.61	    0.54	    0.00	  15.592	  15.260	  23.686	  24.685	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
      47	 16:37:13	  -0.004	   0.000	  105.05	 1002.24	   11.22	   303.7	   -30.0	    14.7	    26.7	   305.2	     4.1	 242.986	   1.228	   245.1	    20.0	  228536	   44.70	   44.70	    0.56	    0.52	    0.00	  15.241	  14.892	  23.660	  24.652	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
      48	 16:38:03	   8.000	   0.000	  105.21	 1002.27	   11.20	   506.5	   -38.9	   355.2	   351.5	   416.1	    21.1	 244.860	   1.228	   245.5	    20.0	  228746	   44.70	   44.70	    0.60	    0.55	    0.00	  14.889	  14.554	  23.748	  24.740	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
