  Run_nr	    Time	   Alpha	    Beta	Delta_Pb	   P_bar	       T	      B1	      B2	      B3	      B4	      B5	      B6	     rpm	     Rho	       Q	       V	      Re	 nrotor1	 nrotor2	      I1	      I2	    dptq	  Extra1	  Extra2	  Extra3	  Extra4	  Extra5	  Extra6	  Extra7	  Extra8	  Extra9	 Extra10
       /	   H:M:S	 degrees	 degrees	      Pa	     hPa	 degr._C	   steps	   steps	   steps	   steps	   steps	   steps	   1/min	  kg/m^3	      Pa	     m/s	       /	     1/s	     1/s	       A	       A	      Pa	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /
      59	 16:54:54	   9.996	   0.000	  418.31	 1002.56	   11.87	   610.2	   124.9	  2319.6	  2076.6	  -637.8	   -22.8	 474.018	   1.225	   980.4	    40.0	  455845	  122.99	  123.00	   18.40	   18.23	    0.00	  18.432	  18.239	  34.087	  33.468	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
      60	 16:55:41	  14.000	   0.000	  417.91	 1002.55	   11.92	  2518.3	   257.1	  2564.7	  2244.8	   317.8	  -106.4	 476.961	   1.225	   979.4	    40.0	  455517	  123.01	  123.00	   18.47	   18.51	    0.00	  18.716	  19.282	  34.206	  33.743	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
      61	 16:56:16	  12.004	   0.000	  418.75	 1002.58	   11.97	  1507.3	   186.4	  2456.3	  2176.7	  -256.8	   -65.2	 475.980	   1.225	   981.4	    40.0	  455892	  122.99	  123.00	   18.96	   18.36	    0.00	  19.538	  20.411	  34.328	  33.609	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
      62	 16:56:45	  11.000	   0.000	  418.72	 1002.58	   11.98	  1045.9	   148.7	  2391.2	  2133.9	  -471.8	   -42.2	 474.988	   1.225	   981.4	    40.0	  455851	  123.00	  123.01	   18.76	   18.22	    0.00	  20.387	  21.391	  34.256	  33.526	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
      63	 16:57:18	  12.996	   0.000	  417.60	 1002.53	   12.00	  1952.9	   228.4	  2513.2	  2213.2	   -26.4	   -88.6	 475.963	   1.225	   978.7	    40.0	  455179	  123.00	  123.00	   18.82	   18.46	    0.00	  21.343	  22.408	  34.278	  33.601	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
      64	 16:58:02	  12.996	   0.000	  418.57	 1002.58	   12.05	  3553.5	   -74.0	  2038.8	  1960.0	  1416.7	    79.7	 477.988	   1.225	   981.0	    40.0	  455628	   89.48	   89.48	    5.03	    4.43	    0.00	  22.512	  23.359	  31.599	  31.961	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
      65	 16:58:31	  11.004	   0.000	  418.98	 1002.57	   12.06	  2760.8	  -106.4	  1929.1	  1867.3	  1019.1	    99.5	 476.991	   1.225	   982.0	    40.0	  455828	   89.48	   89.47	    4.40	    3.66	    0.00	  22.676	  23.096	  31.216	  31.387	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
      66	 16:59:10	  13.996	   0.000	  418.41	 1002.60	   12.10	  4046.0	   -59.1	  2084.1	  1991.9	  1733.1	    70.1	 479.010	   1.224	   980.6	    40.0	  455452	   89.47	   89.47	    4.97	    4.96	    0.00	  22.286	  22.211	  31.549	  32.156	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
      67	 16:59:49	  10.004	   0.000	  418.24	 1002.59	   12.12	  2388.5	   -92.3	  1877.1	  1806.9	   871.8	    93.8	 475.987	   1.224	   980.2	    40.0	  455302	   89.47	   89.47	    4.12	    3.74	    0.00	  21.631	  21.255	  30.995	  31.084	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
      68	 17:00:28	  11.996	   0.000	  417.92	 1002.59	   12.12	  3125.2	   -90.7	  1979.2	  1911.1	  1190.3	    90.1	 476.991	   1.224	   979.5	    40.0	  455124	   89.47	   89.47	    5.34	    3.89	    0.00	  20.909	  20.399	  31.399	  31.571	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
      69	 17:01:01	  11.996	   0.000	  307.75	 1002.63	   12.14	  1868.3	    -1.0	  1565.3	  1474.1	   565.6	    23.7	 393.349	   1.224	   720.2	    33.9	  386046	   89.40	   89.39	    5.95	    5.64	    0.00	  20.345	  19.810	  32.205	  32.535	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
