  Run_nr	    Time	   Alpha	    Beta	Delta_Pb	   P_bar	       T	      B1	      B2	      B3	      B4	      B5	      B6	     rpm	     Rho	       Q	       V	      Re	 nrotor1	 nrotor2	      I1	      I2	    dptq	  Extra1	  Extra2	  Extra3	  Extra4	  Extra5	  Extra6	  Extra7	  Extra8	  Extra9	 Extra10
       /	   H:M:S	 degrees	 degrees	      Pa	     hPa	 degr._C	   steps	   steps	   steps	   steps	   steps	   steps	   1/min	  kg/m^3	      Pa	     m/s	       /	     1/s	     1/s	       A	       A	      Pa	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /
      21	 16:04:28	  -0.004	   0.000	  417.71	 1001.65	   11.86	  -912.2	  -138.5	   707.9	   737.6	 -1147.7	    41.6	 468.007	   1.224	   979.0	    40.0	  455338	  123.00	  123.00	   12.50	   11.94	    0.00	  20.674	  21.455	  52.986	  52.599	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
      22	 16:05:26	   8.000	   0.000	  417.86	 1001.70	   11.86	   179.2	    63.1	  2233.6	  2046.8	 -1064.4	     5.9	 472.983	   1.224	   979.3	    40.0	  455421	  123.00	  123.00	   12.37	   12.39	    0.00	  22.432	  23.907	  53.043	  52.738	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
      23	 16:06:38	  -3.996	   0.000	  417.10	 1001.69	   11.94	  -835.8	  -240.6	  -258.4	  -134.1	  -656.3	    95.3	 467.988	   1.224	   977.5	    40.0	  454852	  123.00	  123.00	   12.37	   12.22	    0.00	  25.175	  26.567	  52.866	  52.550	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
      24	 16:07:45	  -3.996	   0.000	  418.39	 1001.72	   12.06	  1042.3	    21.1	  -509.5	  -480.7	   840.2	   -70.2	 471.011	   1.224	   980.6	    40.0	  455314	   89.49	   89.50	    2.66	    2.56	    0.00	  26.960	  27.686	  49.921	  49.919	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
      25	 16:08:58	   7.996	   0.000	  418.63	 1001.72	   12.03	  1994.0	  -119.1	  1797.5	  1766.4	   490.6	    99.2	 475.000	   1.224	   981.2	    40.0	  455497	   89.50	   89.51	    2.41	    2.17	    0.00	  25.543	  25.403	  50.007	  50.059	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
      26	 16:10:08	   0.004	   0.000	  416.74	 1001.74	   12.06	   974.5	   -44.0	   385.8	   417.0	   391.1	   -21.2	 469.988	   1.224	   976.7	    40.0	  454418	   89.51	   89.51	    2.62	    2.24	    0.00	  23.649	  23.314	  49.766	  49.741	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
      27	 16:11:14	   0.004	   0.000	  418.63	 1016.42	   12.15	   275.0	   -83.5	   510.3	   539.5	  -183.4	     4.4	 469.996	   1.241	   981.1	    39.9	  457650	  103.60	  103.60	    5.72	    5.49	    0.00	  22.296	  22.195	  53.090	  51.359	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
      28	 16:12:09	  -4.000	   0.000	  416.71	 1001.74	   12.21	   322.9	   -73.2	  -411.7	  -353.6	   269.6	    -9.2	 468.990	   1.223	   976.6	    40.0	  454094	  103.61	  103.60	    5.61	    5.60	    0.00	  21.847	  22.096	  53.285	  51.550	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
      29	 16:13:23	   7.996	   0.000	  417.90	 1001.77	   12.18	  1292.2	   -61.2	  1961.1	  1877.1	  -109.7	    67.7	 474.010	   1.223	   979.4	    40.0	  454808	  103.61	  103.60	    5.50	    5.50	    0.00	  21.628	  22.273	  53.324	  51.731	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
