  Run_nr	   Alpha	    Beta	      CL	      CD	    Cyaw	 Cm_p_qc	      Ct	      Cn	   Cside	 Cm_roll	Cm_pitch	  Cm_yaw	      Cx	      Cy	      Cz	    Cm_x	    Cm_y	    Cm_z	      Fx	      Fy	      Fz	      Mx	      My	      Mz	     DPb	    Pbar	       T	     Rho	       Q	       V	      Re	       M
       /	 degrees	 degrees	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /	       N	       N	       N	      Nm	      Nm	      Nm	      Pa	      Pa	 degr. C	  kg/m^3	      Pa	     m/s	       /	       /
      40	  -0.004	   0.000	  0.1626	-0.030000	 0.01378	 0.11937	-0.029990	  0.1626	0.013776	-0.00289	 0.07872	-0.00236	-0.030000	-0.013776	0.162602	-0.00513	 0.08360	-0.00236	   -1.20	   -0.78	    9.70	   -0.41	    0.93	   -0.19	  104.97	 1002.11	   11.39	   1.227	   244.9	   19.98	1.774E+5	   0.059
      41	  -3.996	   0.000	 -0.2730	-0.022183	 0.01139	 0.16646	-0.041152	 -0.2708	0.011394	-0.00196	 0.23416	-0.00199	-0.022183	-0.011394	-0.272990	-0.00367	 0.23777	-0.00213	   -0.68	   -0.64	  -15.08	   -0.29	    2.41	   -0.17	  105.03	 1002.11	   11.34	   1.227	   245.0	   19.98	1.774E+5	   0.059
      42	   7.996	   0.000	  0.9393	0.010567	 0.00216	 0.02622	-0.120198	  0.9316	0.002160	-0.00702	-0.20668	-0.00131	0.010567	-0.002160	0.939289	-0.00748	-0.20840	-0.00033	    0.99	   -0.12	   53.85	   -0.59	   -1.87	   -0.03	  104.95	 1002.16	   11.31	   1.227	   244.8	   19.97	1.774E+5	   0.059
      43	   7.996	   0.000	  0.9277	0.055686	 0.00276	 0.05702	-0.073902	  0.9264	0.002765	-0.00530	-0.17458	-0.00124	0.055686	-0.002765	0.927673	-0.00587	-0.18364	-0.00051	    3.56	   -0.16	   53.49	   -0.47	   -1.65	   -0.04	  105.53	 1002.16	   11.25	   1.228	   246.2	   20.03	1.779E+5	   0.059
      44	   0.004	   0.000	  0.1678	0.018866	 0.00936	 0.13092	0.018853	  0.1678	0.009360	-0.00214	 0.08897	-0.00116	0.018866	-0.009360	0.167806	-0.00366	 0.08590	-0.00116	    1.57	   -0.53	   10.03	   -0.29	    0.95	   -0.09	  105.33	 1002.20	   11.23	   1.228	   245.7	   20.01	1.778E+5	   0.059
      45	  -4.000	   0.000	 -0.2639	0.023144	 0.00728	 0.17098	0.004683	 -0.2648	0.007276	-0.00099	 0.23719	-0.00069	0.023144	-0.007276	-0.263851	-0.00212	 0.23342	-0.00076	    1.89	   -0.41	  -14.62	   -0.17	    2.38	   -0.06	  105.49	 1002.21	   11.23	   1.228	   246.1	   20.02	1.779E+5	   0.059
      46	  -4.000	   0.000	 -0.2580	0.046272	 0.00436	 0.17492	0.028163	 -0.2606	0.004364	-0.00084	 0.24007	 0.00050	0.046272	-0.004364	-0.258006	-0.00159	 0.23254	 0.00044	    3.20	   -0.25	  -14.25	   -0.13	    2.36	    0.04	  105.19	 1002.23	   11.23	   1.228	   245.4	   19.99	1.777E+5	   0.059
      47	  -0.004	   0.000	  0.1688	0.040425	 0.00736	 0.14217	0.040438	  0.1688	0.007360	-0.00197	 0.09997	-0.00035	0.040425	-0.007360	0.168787	-0.00316	 0.09339	-0.00035	    2.79	   -0.42	   10.05	   -0.25	    1.02	   -0.03	  105.05	 1002.24	   11.22	   1.228	   245.1	   19.98	1.776E+5	   0.059
      48	   8.000	   0.000	  0.9228	0.079484	 0.00415	 0.07089	-0.049717	  0.9248	0.004148	-0.00422	-0.16032	-0.00155	0.079484	-0.004148	0.922762	-0.00507	-0.17325	-0.00097	    4.90	   -0.24	   53.05	   -0.40	   -1.54	   -0.08	  105.21	 1002.27	   11.20	   1.228	   245.5	   19.99	1.777E+5	   0.059
