  Run_nr	   Alpha	    Beta	      CL	      CD	    Cyaw	 Cm_p_qc	      Ct	      Cn	   Cside	 Cm_roll	Cm_pitch	  Cm_yaw	      Cx	      Cy	      Cz	    Cm_x	    Cm_y	    Cm_z	      Fx	      Fy	      Fz	      Mx	      My	      Mz	     DPb	    Pbar	       T	     Rho	       Q	       V	      Re	       M
       /	 degrees	 degrees	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /	       N	       N	       N	      Nm	      Nm	      Nm	      Pa	      Pa	 degr. C	  kg/m^3	      Pa	     m/s	       /	       /
       1	   0.000	   0.000	  0.2169	-0.031173	 0.01223	-0.01510	-0.031174	  0.2169	0.012233	-0.00213	-0.06932	-0.00208	-0.031173	-0.012233	0.216898	-0.00412	-0.06425	-0.00208	   -1.27	   -0.69	   12.81	   -0.33	   -0.45	   -0.17	  105.27	 1001.23	   11.14	   1.227	   245.6	   20.01	1.777E+5	   0.059
       2	   7.996	   0.000	  0.9846	0.013026	 0.00147	-0.09444	-0.124063	  0.9768	0.001471	-0.00614	-0.33865	-0.00113	0.013026	-0.001471	0.984578	-0.00648	-0.34077	-0.00028	    1.14	   -0.08	   56.74	   -0.52	   -3.12	   -0.02	  105.56	 1001.21	   10.96	   1.228	   246.3	   20.03	1.781E+5	   0.059
       3	  -3.996	   0.000	 -0.2189	-0.027887	 0.01014	 0.02791	-0.043076	 -0.2165	0.010139	-0.00136	 0.08203	-0.00200	-0.027887	-0.010139	-0.218943	-0.00287	 0.08656	-0.00210	   -1.01	   -0.57	  -12.04	   -0.23	    1.00	   -0.17	  105.20	 1079.93	   10.90	   1.324	   245.4	   19.25	1.847E+5	   0.057
       4	  -3.996	   0.000	 -0.2108	0.017253	 0.00790	 0.04341	0.002523	 -0.2115	0.007897	-0.00036	 0.09627	-0.00080	0.017253	-0.007897	-0.210774	-0.00159	 0.09347	-0.00083	    1.55	   -0.45	  -11.58	   -0.13	    1.06	   -0.07	  105.27	 1001.20	   10.85	   1.228	   245.6	   20.00	1.780E+5	   0.059
       5	   7.996	   0.000	  0.9709	0.056389	 0.00250	-0.05498	-0.079218	  0.9693	0.002499	-0.00457	-0.29731	-0.00119	0.056389	-0.002499	0.970891	-0.00510	-0.30648	-0.00056	    3.59	   -0.14	   55.71	   -0.40	   -2.79	   -0.04	  105.07	 1001.27	   10.84	   1.228	   245.1	   19.98	1.778E+5	   0.059
       6	   0.004	   0.000	  0.2170	0.015409	 0.01014	 0.01031	0.015393	  0.2170	0.010136	-0.00128	-0.04394	-0.00134	0.015409	-0.010136	0.216993	-0.00293	-0.04644	-0.00134	    1.37	   -0.57	   12.78	   -0.23	   -0.29	   -0.11	  105.03	 1001.26	   10.82	   1.228	   245.0	   19.97	1.778E+5	   0.059
       7	   0.004	   0.000	  0.2159	0.039837	 0.00772	 0.02481	0.039822	  0.2159	0.007724	-0.00084	-0.02916	-0.00045	0.039837	-0.007724	0.215879	-0.00210	-0.03564	-0.00045	    2.77	   -0.44	   12.78	   -0.17	   -0.19	   -0.04	  105.57	 1001.28	   10.81	   1.228	   246.3	   20.02	1.782E+5	   0.059
       8	  -4.000	   0.000	 -0.2095	0.041570	 0.00445	 0.04995	0.026852	 -0.2119	0.004454	 0.00001	 0.10293	 0.00034	0.041570	-0.004454	-0.209544	-0.00073	 0.09617	 0.00034	    2.95	   -0.25	  -11.56	   -0.06	    1.09	    0.03	  105.70	 1015.93	   10.80	   1.246	   246.6	   19.89	1.797E+5	   0.059
       9	   7.996	   0.000	  0.9635	0.080828	 0.00381	-0.03606	-0.053979	  0.9654	0.003811	-0.00343	-0.27740	-0.00149	0.080828	-0.003811	0.963504	-0.00423	-0.29055	-0.00102	    5.00	   -0.22	   55.57	   -0.34	   -2.65	   -0.08	  105.62	 1001.30	   10.80	   1.228	   246.4	   20.03	1.783E+5	   0.059
