  Run_nr	   Alpha	    Beta	      CL	      CD	    Cyaw	 Cm_p_qc	      Ct	      Cn	   Cside	 Cm_roll	Cm_pitch	  Cm_yaw	      Cx	      Cy	      Cz	    Cm_x	    Cm_y	    Cm_z	      Fx	      Fy	      Fz	      Mx	      My	      Mz	     DPb	    Pbar	       T	     Rho	       Q	       V	      Re	       M
       /	 degrees	 degrees	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /	       N	       N	       N	      Nm	      Nm	      Nm	      Pa	      Pa	 degr. C	  kg/m^3	      Pa	     m/s	       /	       /
      59	   9.996	   0.000	  1.1120	0.019254	-0.00808	-0.19113	-0.174065	  1.0985	-0.008083	-0.00764	-0.46575	-0.00069	0.019254	0.008083	1.112014	-0.00633	-0.46888	 0.00065	    5.84	    1.83	  253.58	   -2.01	  -17.14	    0.21	  418.31	 1002.56	   11.87	   1.225	   980.4	   40.00	3.542E+5	   0.118
      60	  14.000	   0.000	  1.3300	0.096783	-0.01278	-0.35841	-0.227846	  1.3139	-0.012776	-0.00923	-0.68689	 0.00003	0.096783	0.012776	1.329975	-0.00685	-0.70263	 0.00234	   23.37	    2.89	  302.41	   -2.17	  -25.71	    0.74	  417.91	 1002.55	   11.92	   1.225	   979.4	   39.99	3.539E+5	   0.118
      61	  12.004	   0.000	  1.2158	0.056176	-0.01007	-0.29017	-0.197913	  1.2009	-0.010066	-0.00849	-0.59040	-0.00029	0.056176	0.010066	1.215792	-0.00672	-0.59954	 0.00151	   14.08	    2.28	  277.47	   -2.13	  -22.03	    0.48	  418.75	 1002.58	   11.97	   1.225	   981.4	   40.03	3.542E+5	   0.118
      62	  11.000	   0.000	  1.1642	0.036878	-0.00846	-0.24613	-0.185936	  1.1498	-0.008465	-0.00804	-0.53358	-0.00054	0.036878	0.008465	1.164177	-0.00662	-0.53958	 0.00101	    9.77	    1.92	  265.70	   -2.10	  -19.80	    0.32	  418.72	 1002.58	   11.98	   1.225	   981.4	   40.03	3.542E+5	   0.118
      63	  12.996	   0.000	  1.2700	0.074117	-0.01177	-0.32883	-0.213379	  1.2541	-0.011770	-0.00874	-0.64235	-0.00004	0.074117	0.011770	1.269966	-0.00660	-0.65441	 0.00198	   18.16	    2.66	  288.78	   -2.09	  -23.96	    0.63	  417.60	 1002.53	   12.00	   1.225	   978.7	   39.98	3.537E+5	   0.118
      64	  12.996	   0.000	  1.2266	0.138913	 0.00036	-0.23802	-0.140490	  1.2264	0.000359	-0.00405	-0.54462	-0.00238	0.138913	-0.000359	1.226603	-0.00456	-0.56723	-0.00150	   32.89	   -0.08	  279.64	   -1.45	  -20.75	   -0.48	  418.57	 1002.58	   12.05	   1.225	   981.0	   40.03	3.540E+5	   0.118
      65	  11.004	   0.000	  1.1280	0.106409	 0.00175	-0.16749	-0.110855	  1.1276	0.001747	-0.00376	-0.44938	-0.00260	0.106409	-0.001747	1.127979	-0.00448	-0.46669	-0.00192	   25.55	   -0.40	  257.65	   -1.42	  -17.08	   -0.61	  418.98	 1002.57	   12.06	   1.225	   982.0	   40.05	3.542E+5	   0.118
      66	  13.996	   0.000	  1.2834	0.158708	-0.00013	-0.26006	-0.156391	  1.2836	-0.000125	-0.00444	-0.58097	-0.00235	0.158708	0.000125	1.283351	-0.00488	-0.60679	-0.00131	   37.42	    0.03	  292.22	   -1.55	  -22.16	   -0.42	  418.41	 1002.60	   12.10	   1.224	   980.6	   40.02	3.539E+5	   0.118
      67	  10.004	   0.000	  1.0832	0.091517	 0.00084	-0.12073	-0.098044	  1.0826	0.000838	-0.00387	-0.39138	-0.00241	0.091517	-0.000838	1.083188	-0.00437	-0.40627	-0.00176	   22.20	   -0.19	  247.00	   -1.39	  -14.80	   -0.56	  418.24	 1002.59	   12.12	   1.224	   980.2	   40.02	3.538E+5	   0.118
      68	  11.996	   0.000	  1.1741	0.122091	 0.00096	-0.20456	-0.124615	  1.1739	0.000963	-0.00380	-0.49803	-0.00245	0.122091	-0.000963	1.174132	-0.00440	-0.51789	-0.00169	   28.97	   -0.22	  267.49	   -1.39	  -18.94	   -0.54	  417.92	 1002.59	   12.12	   1.224	   979.5	   40.00	3.536E+5	   0.118
      69	  11.996	   0.000	  1.1940	0.098770	-0.00237	-0.23972	-0.151551	  1.1884	-0.002366	-0.00501	-0.53683	-0.00147	0.098770	0.002366	1.193971	-0.00483	-0.55290	-0.00044	   17.41	    0.39	  199.88	   -1.12	  -14.88	   -0.10	  307.75	 1002.63	   12.14	   1.224	   719.8	   34.29	3.031E+5	   0.101
