Run_nr    Alpha       CL          CD          Cyaw        Cm_p_qc     Ct          Cn          Cside       Cm_roll     Cm_pitch    Cm_yaw      V           Re          M           delta_e   J
/         degrees     /           /           /           /           /           /           /           /           /           /           m/s         /           /           degrees   /
1         0.000       0.2147      -0.030853   0.01211     -0.01510    -0.030854   0.2147      0.012107    -0.00210    -0.06861    -0.00206    20.11       1.786E+5    0.059       0         1.6    
2         7.996       0.9745      0.012893    0.00146     -0.09444    -0.122791   0.9668      0.001456    -0.00607    -0.33517    -0.00112    20.13       1.790E+5    0.060       0         1.6
3         -3.996      -0.2167     -0.027601   0.01004     0.02791     -0.042634   -0.2142     0.010035    -0.00135    0.08119     -0.00198    19.35       1.857E+5    0.057       0         1.6
4         -3.996      -0.2086     0.017076    0.00782     0.04341     0.002497    -0.2093     0.007816    -0.00035    0.09529     -0.00079    20.10       1.789E+5    0.059       0         1.9
5         7.996       0.9609      0.055811    0.00247     -0.05498    -0.078406   0.9594      0.002473    -0.00452    -0.29426    -0.00117    20.08       1.787E+5    0.059       0         1.9
6         0.004       0.2148      0.015251    0.01003     0.01031     0.015235    0.2148      0.010032    -0.00127    -0.04348    -0.00133    20.08       1.787E+5    0.059       0         1.9
7         0.004       0.2137      0.039429    0.00764     0.02481     0.039413    0.2137      0.007644    -0.00083    -0.02886    -0.00044    20.13       1.792E+5    0.060       0         2.2
8         -4.000      -0.2074     0.041144    0.00441     0.04995     0.026577    -0.2098     0.004409    0.00001     0.10187     0.00034     19.99       1.806E+5    0.059       0         2.2
9         7.996       0.9536      0.080000    0.00377     -0.03606    -0.053425   0.9555      0.003772    -0.00339    -0.27456    -0.00147    20.13       1.792E+5    0.060       0         2.2
10        7.996       0.9622      0.068039    0.00217     -0.05222    -0.066467   0.9623      0.002169    -0.00307    -0.29226    -0.00209    40.20       3.570E+5    0.119       0         2.2
11        0.004       0.2185      0.028402    0.00703     0.03114     0.028386    0.2185      0.007026    -0.00031    -0.02381    -0.00074    40.25       3.571E+5    0.119       0         2.2
12        -4.000      -0.2181     0.031306    0.00518     0.06536     0.016019    -0.2197     0.005178    0.00049     0.11961     0.00035     40.24       3.568E+5    0.119       0         2.2
13        -4.000      -0.2206     0.002608    0.00866     0.05616     -0.012788   -0.2203     0.008657    0.00006     0.11064     -0.00088    40.23       3.564E+5    0.119       0         1.9
14        0.004       0.2163      -0.000136   0.00841     0.02406     -0.000152   0.2163      0.008408    -0.00122    -0.03027    -0.00119    38.68       3.693E+5    0.114       0         1.9
15        7.996       0.9663      0.040409    0.00074     -0.05948    -0.094402   0.9625      0.000744    -0.00437    -0.29949    -0.00187    40.25       3.562E+5    0.119       0         1.9
16        7.996       0.9801      -0.004436   -0.00509    -0.09911    -0.140728   0.9699      -0.005087   -0.00656    -0.34056    -0.00069    40.24       3.562E+5    0.119       0         1.6
17        -3.996      -0.2261     -0.043236   0.01351     0.04274     -0.058890   -0.2226     0.013506    -0.00052    0.09794     -0.00247    40.19       3.554E+5    0.119       0         1.6
18        -0.004      0.2146      -0.046828   0.00966     0.00290     -0.046814   0.2146      0.009657    -0.00249    -0.05078    -0.00163    40.24       3.557E+5    0.119       0         1.6
19        -0.004      0.2560      -0.045512   0.00741     -0.12008    -0.045495   0.2560      0.007407    -0.00268    -0.18283    -0.00085    40.20       3.556E+5    0.119       5         1.6
20        8.000       1.0195      0.001276    -0.00522    -0.22236    -0.140631   1.0098      -0.005215   -0.00629    -0.47249    -0.00079    40.20       3.557E+5    0.119       5         1.6
21        -3.996      -0.1820     -0.044340   0.01207     -0.08647    -0.056914   -0.1785     0.012073    -0.00075    -0.04095    -0.00198    40.17       3.552E+5    0.119       5         1.6
22        -3.996      -0.1809     0.031250    0.00268     -0.04249    0.018569    -0.1826     0.002677    0.00003     0.00361     0.00132     40.24       3.556E+5    0.119       5         2.2
23        7.996       0.9926      0.074162    0.00243     -0.14458    -0.064644   0.9933      0.002429    -0.00285    -0.39140    -0.00221    40.25       3.558E+5    0.119       5         2.2
24        0.004       0.2496      0.030537    0.00417     -0.06438    0.030519    0.2496      0.004173    -0.00086    -0.12612    0.00042     40.16       3.549E+5    0.119       5         2.2
25        0.004       0.2530      0.002263    0.00554     -0.08572    0.002245    0.2530      0.005536    -0.00170    -0.14807    -0.00010    39.97       3.582E+5    0.118       5         1.9
26        -4.000      -0.1826     0.002384    0.00600     -0.05871    -0.010360   -0.1824     0.006002    -0.00046    -0.01251    0.00012     40.17       3.547E+5    0.119       5         1.9
27        7.996       1.0035      0.046063    0.00010     -0.17457    -0.093973   1.0001      0.000103    -0.00418    -0.42278    -0.00175    40.23       3.552E+5    0.119       5         1.9
28        7.996       0.9901      0.065163    0.00104     -0.16845    -0.073204   0.9896      0.001036    -0.00438    -0.41412    -0.00068    20.12       1.781E+5    0.059       5         1.9
29        0.004       0.2389      0.020436    0.00878     -0.08476    0.020419    0.2389      0.008784    -0.00136    -0.14361    -0.00079    20.11       1.782E+5    0.059       5         1.9
30        -4.000      -0.1802     0.020359    0.00618     -0.06257    0.007740    -0.1812     0.006181    -0.00059    -0.01663    -0.00029    20.14       1.785E+5    0.060       5         1.9
31        -4.000      -0.1774     0.043505    0.00324     -0.05005    0.031022    -0.1800     0.003235    -0.00030    -0.00452    0.00057     19.82       1.808E+5    0.059       5         2.2
32        -0.004      0.2381      0.041717    0.00838     -0.06199    0.041735    0.2381      0.008384    -0.00112    -0.12089    -0.00051    20.07       1.779E+5    0.059       5         2.2
33        8.000       0.9832      0.087978    0.00296     -0.14399    -0.049715   0.9859      0.002964    -0.00361    -0.38898    -0.00116    20.06       1.779E+5    0.059       5         2.2
34        8.000       1.0087      0.022435    -0.00018    -0.21870    -0.118173   1.0020      -0.000180   -0.00617    -0.46696    -0.00057    20.14       1.787E+5    0.060       5         1.6
35        -3.996      -0.1831     -0.025228   0.00961     -0.08576    -0.037923   -0.1809     0.009608    -0.00140    -0.03967    -0.00132    20.09       1.784E+5    0.059       5         1.6
36        -0.004      0.2445      -0.028502   0.01138     -0.11579    -0.028485   0.2445      0.011381    -0.00293    -0.17573    -0.00163    20.08       1.782E+5    0.059       5         1.6
37        -0.004      0.1609      -0.029693   0.01363     0.11937     -0.029682   0.1609      0.013635    -0.00286    0.07791     -0.00234    20.08       1.783E+5    0.059       -5         1.6
38        -3.996      -0.2702     -0.021955   0.01128     0.16646     -0.040730   -0.2680     0.011277    -0.00194    0.23176     -0.00197    20.09       1.784E+5    0.059       -5         1.6
39        7.996       0.9297      0.010459    0.00214     0.02622     -0.118966   0.9221      0.002138    -0.00695    -0.20456    -0.00129    20.08       1.783E+5    0.059       -5         1.6
40        7.996       0.9182      0.055115    0.00274     0.05702     -0.073145   0.9169      0.002736    -0.00524    -0.17279    -0.00123    20.13       1.789E+5    0.060       -5         1.9
41        0.004       0.1661      0.018672    0.00926     0.13092     0.018660    0.1661      0.009264    -0.00212    0.08806     -0.00115    20.11       1.787E+5    0.059       -5         1.9
42        -4.000      -0.2611     0.022907    0.00720     0.17098     0.004635    -0.2621     0.007202    -0.00098    0.23476     -0.00068    20.12       1.788E+5    0.060       -5         1.9
43        -4.000      -0.2554     0.045798    0.00432     0.17492     0.027875    -0.2579     0.004320    -0.00084    0.23760     0.00050     20.10       1.786E+5    0.059       -5         2.2
44        -0.004      0.1671      0.040011    0.00728     0.14217     0.040023    0.1671      0.007284    -0.00195    0.09895     -0.00035    20.08       1.785E+5    0.059       -5         2.2
45        8.000       0.9133      0.078669    0.00411     0.07089     -0.049207   0.9154      0.004105    -0.00418    -0.15867    -0.00153    20.10       1.786E+5    0.059       -5         2.2
46        8.000       0.9281      0.065091    0.00212     0.05234     -0.064711   0.9281      0.002124    -0.00351    -0.18023    -0.00207    40.17       3.564E+5    0.119       -5         2.2
47        -3.996      -0.2573     0.033845    0.00438     0.17691     0.015831    -0.2591     0.004376    -0.00000    0.23984     0.00067     40.21       3.562E+5    0.119       -5         2.2
48        -0.004      0.1771      0.028697    0.00580     0.14087     0.028711    0.1770      0.005797    -0.00092    0.09514     -0.00024    40.25       3.563E+5    0.119       -5         2.2
49        -0.004      0.1760      0.000053    0.00841     0.13198     0.000066    0.1760      0.008408    -0.00150    0.08661     -0.00121    40.25       3.561E+5    0.119       -5         1.9
50        8.000       0.9362      0.036532    0.00094     0.03149     -0.094117   0.9321      0.000944    -0.00480    -0.20188    -0.00198    40.19       3.555E+5    0.119       -5         1.9
51        -3.996      -0.2629     0.005329    0.00852     0.17254     -0.013001   -0.2626     0.008520    -0.00025    0.23640     -0.00081    40.20       3.556E+5    0.119       -5         1.9
52        -3.996      -0.2679     -0.040519   0.01534     0.16555     -0.059088   -0.2644     0.015342    -0.00031    0.22993     -0.00317    40.25       3.558E+5    0.119       -5         1.6
53        7.996       0.9477      -0.008776   -0.00353    -0.00126    -0.140511   0.9372      -0.003533   -0.00685    -0.23555    -0.00123    40.17       3.551E+5    0.119       -5         1.6
54        0.004       0.1778      -0.046220   0.01226     0.11575     -0.046233   0.1778      0.012261    -0.00230    0.07010     -0.00252    40.21       3.554E+5    0.119       -5         1.6
# Repeat measurements!
1.1       -0.004      0.2023      -0.030599   0.01320     0.00675     -0.030586   0.2023      0.013203    -0.00284    -0.04388    -0.00233    20.11       1.781E+5    0.059       0         1.6
19.1      -0.004      0.2558      -0.044911   0.00674     -0.11845    -0.044894   0.2558      0.006741    -0.00279    -0.18118    -0.00058    40.26       3.564E+5    0.119       5         1.6
37.1      0.004       0.1621      -0.027448   0.01274     0.12068     -0.027460   0.1621      0.012743    -0.00364    0.07893     -0.00213    20.11       1.780E+5    0.059       -5         1.6
