  Run_nr	    Time	   Alpha	    Beta	Delta_Pb	   P_bar	       T	      B1	      B2	      B3	      B4	      B5	      B6	     rpm	     Rho	       Q	       V	      Re	 nrotor1	 nrotor2	      I1	      I2	    dptq	  Extra1	  Extra2	  Extra3	  Extra4	  Extra5	  Extra6	  Extra7	  Extra8	  Extra9	 Extra10
       /	   H:M:S	 degrees	 degrees	      Pa	     hPa	 degr._C	   steps	   steps	   steps	   steps	   steps	   steps	   1/min	  kg/m^3	      Pa	     m/s	       /	     1/s	     1/s	       A	       A	      Pa	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /
       1	 18:29:12	   0.000	 -10.000	  633.35	 1008.86	   21.63	  1407.5	  3554.4	  1732.8	  -237.6	   560.3	 -1360.4	 585.896	   1.192	  1490.4	    50.0	  540116	    0.00	    0.00	    0.00	    0.00	    0.00	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
       2	 18:29:31	   0.000	  -9.000	  633.83	 1008.90	   21.75	  1423.5	  3412.5	  1644.8	  -173.3	   584.1	 -1386.7	 585.486	   1.192	  1491.6	    50.0	  540044	    0.00	    0.00	    0.00	    0.00	    0.00	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
       3	 18:29:51	   0.000	  -8.000	  632.90	 1008.88	   21.84	  1463.7	  3134.6	  1526.5	   -89.0	   619.4	 -1335.1	 584.909	   1.191	  1489.4	    50.0	  539434	    0.00	    0.00	    0.00	    0.00	    0.00	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
       4	 18:30:16	   0.000	  -7.000	  633.33	 1008.88	   21.89	  1520.7	  2741.4	  1387.6	     6.7	   658.6	 -1210.7	 584.453	   1.191	  1490.4	    50.0	  539494	    0.00	    0.00	    0.00	    0.00	    0.00	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
       5	 18:30:43	   0.000	  -6.000	  633.19	 1008.89	   21.93	  1571.0	  2267.7	  1240.9	   111.5	   690.7	 -1027.9	 583.477	   1.191	  1490.0	    50.0	  539343	    0.00	    0.00	    0.00	    0.00	    0.00	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
       6	 18:31:06	   0.000	  -5.000	  632.77	 1008.84	   21.98	  1613.7	  1725.7	  1081.0	   231.6	   722.9	  -803.0	 582.529	   1.191	  1489.0	    50.0	  539040	    0.00	    0.00	    0.00	    0.00	    0.00	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
       7	 18:31:30	   0.000	  -4.000	  632.39	 1008.84	   22.01	  1634.8	  1241.0	   946.0	   359.8	   743.0	  -615.2	 581.322	   1.191	  1488.2	    50.0	  538801	    0.00	    0.00	    0.00	    0.00	    0.00	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
       8	 18:31:53	   0.000	  -3.000	  632.87	 1008.88	   22.03	  1653.5	   791.3	   813.5	   483.2	   752.9	  -445.8	 580.961	   1.191	  1489.3	    50.0	  538965	    0.00	    0.00	    0.00	    0.00	    0.00	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
       9	 18:32:12	   0.000	  -2.000	  632.48	 1008.89	   22.06	  1634.6	   454.5	   736.7	   563.0	   737.8	  -284.7	 580.557	   1.191	  1488.4	    50.0	  538730	    0.00	    0.00	    0.00	    0.00	    0.00	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
