  Run_nr	    Time	   Alpha	    Beta	Delta_Pb	   P_bar	       T	      B1	      B2	      B3	      B4	      B5	      B6	     rpm	     Rho	       Q	       V	      Re	 nrotor1	 nrotor2	      I1	      I2	    dptq	  Extra1	  Extra2	  Extra3	  Extra4	  Extra5	  Extra6	  Extra7	  Extra8	  Extra9	 Extra10
       /	   H:M:S	 degrees	 degrees	      Pa	     hPa	 degr._C	   steps	   steps	   steps	   steps	   steps	   steps	   1/min	  kg/m^3	      Pa	     m/s	       /	     1/s	     1/s	       A	       A	      Pa	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /
       1	 14:34:24	  -0.000	 -10.000	  409.54	 1010.64	   20.40	  1234.6	  1415.3	   891.0	   -11.2	   543.3	  -374.2	 473.888	   1.199	   959.7	    40.0	  436103	    0.00	    0.00	    0.00	    0.00	    0.00	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
       2	 14:35:13	  -0.000	  -9.000	  409.53	 1010.62	   20.45	   873.5	  2482.2	  1110.9	  -172.0	   361.8	 -1055.2	 473.326	   1.199	   959.7	    40.0	  435989	    0.00	    0.00	    0.00	    0.00	    0.00	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
       3	 14:35:50	  -0.000	  -8.000	  409.45	 1010.65	   20.50	   917.7	  2236.0	  1020.4	  -102.8	   392.6	  -984.7	 473.070	   1.199	   959.5	    40.0	  435863	    0.00	    0.00	    0.00	    0.00	    0.00	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
       4	 14:36:31	  -0.000	  -7.000	  409.43	 1010.60	   20.54	   966.6	  1939.5	   922.6	   -30.2	   424.4	  -880.6	 472.717	   1.199	   959.4	    40.0	  435772	    0.00	    0.00	    0.00	    0.00	    0.00	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
       5	 14:37:13	  -0.000	  -6.000	  409.19	 1010.63	   20.57	  1012.5	  1604.3	   817.6	    38.3	   452.0	  -745.2	 472.179	   1.199	   958.9	    40.0	  435587	    0.00	    0.00	    0.00	    0.00	    0.00	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
       6	 14:38:21	  -0.000	  -5.000	  409.32	 1010.58	   20.61	  1046.4	  1204.4	   705.9	   122.5	   479.0	  -568.4	 471.531	   1.198	   959.2	    40.0	  435575	    0.00	    0.00	    0.00	    0.00	    0.00	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
       7	 14:39:19	  -0.000	  -4.000	  409.03	 1010.55	   20.63	  1061.8	   871.9	   614.9	   209.6	   493.0	  -435.1	 470.757	   1.198	   958.5	    40.0	  435363	    0.00	    0.00	    0.00	    0.00	    0.00	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
       8	 14:40:03	  -0.000	  -3.000	  409.07	 1010.56	   20.67	  1078.6	   576.6	   533.6	   284.8	   501.0	  -313.8	 470.380	   1.198	   958.6	    40.0	  435310	    0.00	    0.00	    0.00	    0.00	    0.00	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
       9	 14:40:44	  -0.000	  -2.000	  409.07	 1010.57	   20.70	  1088.9	   304.6	   458.1	   353.6	   504.0	  -203.1	 470.128	   1.198	   958.6	    40.0	  435262	    0.00	    0.00	    0.00	    0.00	    0.00	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
      10	 14:41:25	  -0.000	  -1.000	  409.06	 1010.55	   20.72	  1082.5	    33.3	   381.2	   429.0	   501.6	   -99.8	 470.091	   1.198	   958.5	    40.0	  435209	    0.00	    0.00	    0.00	    0.00	    0.00	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
      11	 14:42:09	  -0.000	   0.000	  408.97	 1010.53	   20.75	  1075.2	  -149.8	   345.1	   465.2	   499.2	     4.2	 469.827	   1.198	   958.3	    40.0	  435098	    0.00	    0.00	    0.00	    0.00	    0.00	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
      12	 14:42:51	  -0.000	   1.000	  408.90	 1010.49	   20.76	  1080.1	  -237.4	   361.0	   447.7	   503.7	   141.0	 469.772	   1.198	   958.2	    40.0	  435033	    0.00	    0.00	    0.00	    0.00	    0.00	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
      13	 14:43:29	  -0.000	   2.000	  408.92	 1010.53	   20.79	  1073.4	  -473.6	   311.9	   499.4	   501.3	   271.1	 469.737	   1.198	   958.2	    40.0	  435006	    0.00	    0.00	    0.00	    0.00	    0.00	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
