  Run_nr	    Time	   Alpha	    Beta	Delta_Pb	   P_bar	       T	      B1	      B2	      B3	      B4	      B5	      B6	     rpm	     Rho	       Q	       V	      Re	 nrotor1	 nrotor2	      I1	      I2	    dptq	  Extra1	  Extra2	  Extra3	  Extra4	  Extra5	  Extra6	  Extra7	  Extra8	  Extra9	 Extra10
       /	   H:M:S	 degrees	 degrees	      Pa	     hPa	 degr._C	   steps	   steps	   steps	   steps	   steps	   steps	   1/min	  kg/m^3	      Pa	     m/s	       /	     1/s	     1/s	       A	       A	      Pa	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /
       1	 18:58:13	   4.995	 -10.000	  408.10	 1008.79	   20.94	  1516.7	  1265.8	  1533.8	   671.7	   940.9	  -258.5	 474.189	   1.195	   956.3	    40.0	  433913	    0.00	    0.00	    0.00	    0.00	    0.00	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
       2	 18:58:36	   4.995	  -9.000	  407.74	 1008.79	   21.00	  1197.2	  2179.6	  1698.0	   549.9	   796.1	  -856.6	 473.852	   1.195	   955.4	    40.0	  433594	    0.00	    0.00	    0.00	    0.00	    0.00	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
       3	 18:58:56	   4.995	  -8.000	  407.92	 1008.77	   21.05	  1230.8	  1947.7	  1608.1	   605.2	   830.7	  -792.7	 473.670	   1.195	   955.9	    40.0	  433604	    0.00	    0.00	    0.00	    0.00	    0.00	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
       4	 18:59:17	   4.995	  -7.000	  407.63	 1008.81	   21.08	  1276.1	  1672.8	  1519.2	   676.3	   858.1	  -699.0	 473.332	   1.194	   955.2	    40.0	  433394	    0.00	    0.00	    0.00	    0.00	    0.00	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
       5	 18:59:36	   4.995	  -6.000	  407.77	 1008.79	   21.11	  1323.5	  1359.2	  1421.6	   748.6	   886.4	  -581.0	 473.227	   1.194	   955.5	    40.0	  433402	    0.00	    0.00	    0.00	    0.00	    0.00	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
       6	 18:59:59	   4.995	  -5.000	  407.77	 1008.78	   21.14	  1352.5	  1052.8	  1328.1	   825.7	   910.9	  -466.9	 472.900	   1.194	   955.5	    40.0	  433363	    0.00	    0.00	    0.00	    0.00	    0.00	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
       7	 19:00:21	   4.995	  -4.000	  407.82	 1008.76	   21.14	  1364.9	   768.5	  1256.1	   893.2	   926.1	  -347.3	 472.327	   1.194	   955.6	    40.0	  433369	    0.00	    0.00	    0.00	    0.00	    0.00	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
       8	 19:01:05	   4.995	  -3.000	  407.69	 1008.78	   21.20	  1382.3	   489.7	  1181.5	   961.4	   936.0	  -239.0	 472.184	   1.194	   955.3	    40.0	  433199	    0.00	    0.00	    0.00	    0.00	    0.00	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
       9	 19:01:25	   4.995	  -2.000	  407.70	 1008.79	   21.21	  1397.9	   250.2	  1111.4	  1023.4	   944.7	  -153.0	 472.298	   1.194	   955.3	    40.0	  433196	    0.00	    0.00	    0.00	    0.00	    0.00	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
      10	 19:01:55	   4.995	  -1.000	  408.14	 1008.77	   21.24	  1401.3	    43.2	  1056.1	  1074.3	   950.9	   -69.9	 472.431	   1.194	   956.4	    40.0	  433365	    0.00	    0.00	    0.00	    0.00	    0.00	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
      11	 19:02:20	   4.995	   0.000	  407.40	 1008.80	   21.24	  1397.3	  -135.2	  1014.4	  1108.2	   949.4	    21.0	 472.298	   1.194	   954.6	    40.0	  432971	    0.00	    0.00	    0.00	    0.00	    0.00	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
      12	 19:02:49	   4.995	   1.000	  407.39	 1008.75	   21.24	  1369.5	  -304.9	   983.6	  1145.8	   931.7	   114.0	 472.446	   1.194	   954.6	    40.0	  432959	    0.00	    0.00	    0.00	    0.00	    0.00	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
      13	 19:03:09	   4.995	   1.995	  407.45	 1008.77	   21.26	  1369.7	  -438.1	   976.0	  1161.5	   931.5	   220.8	 472.523	   1.194	   954.7	    40.0	  432960	    0.00	    0.00	    0.00	    0.00	    0.00	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
      14	 19:03:32	   4.995	   3.005	  407.54	 1008.73	   21.26	  1359.9	  -677.4	   919.3	  1225.0	   925.5	   324.7	 472.634	   1.194	   955.0	    40.0	  432993	    0.00	    0.00	    0.00	    0.00	    0.00	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
      15	 19:03:59	   4.995	   4.000	  407.29	 1008.75	   21.26	  1341.2	 -1001.3	   844.2	  1295.1	   913.4	   469.1	 473.615	   1.194	   954.4	    40.0	  432864	    0.00	    0.00	    0.00	    0.00	    0.00	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
      16	 19:04:36	   4.995	   5.005	  407.41	 1008.76	   21.27	  1316.6	 -1276.5	   769.0	  1374.3	   897.1	   569.2	 473.984	   1.194	   954.7	    40.0	  432911	    0.00	    0.00	    0.00	    0.00	    0.00	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
      17	 19:04:57	   4.995	   5.995	  407.30	 1008.81	   21.28	  1258.2	 -1551.7	   707.5	  1463.0	   868.8	   670.4	 474.117	   1.194	   954.4	    40.0	  432849	    0.00	    0.00	    0.00	    0.00	    0.00	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
      18	 19:05:20	   4.995	   7.000	  407.67	 1008.80	   21.30	  1202.0	 -1836.8	   645.9	  1551.8	   836.8	   782.3	 474.578	   1.194	   955.3	    40.0	  433006	    0.00	    0.00	    0.00	    0.00	    0.00	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
      19	 19:05:48	   4.995	   8.000	  407.28	 1008.81	   21.32	  1170.0	 -2064.6	   585.0	  1641.1	   807.7	   838.7	 474.684	   1.193	   954.3	    40.0	  432760	    0.00	    0.00	    0.00	    0.00	    0.00	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
      20	 19:06:07	   4.995	   8.995	  407.41	 1008.82	   21.32	  1136.8	 -2279.7	   524.3	  1727.9	   780.2	   889.1	 474.862	   1.193	   954.7	    40.0	  432829	    0.00	    0.00	    0.00	    0.00	    0.00	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
      21	 19:06:30	   4.995	  10.000	  407.23	 1008.82	   21.34	  1168.1	 -2290.4	   488.0	  1771.1	   781.9	   819.5	 475.132	   1.193	   954.2	    40.0	  432700	    0.00	    0.00	    0.00	    0.00	    0.00	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
      22	 19:08:11	   4.995	 -10.000	  102.48	 1008.80	   20.94	   460.8	    45.1	   319.8	   216.5	   277.1	    85.4	 245.432	   1.195	   239.1	    20.0	  216949	    0.00	    0.00	    0.00	    0.00	    0.00	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
      23	 19:08:33	   4.995	  -9.000	  102.69	 1008.72	   20.90	   453.2	     3.4	   303.0	   230.0	   278.9	    91.6	 245.302	   1.195	   239.6	    20.0	  217206	    0.00	    0.00	    0.00	    0.00	    0.00	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
      24	 19:08:53	   4.995	  -8.000	  102.61	 1008.74	   20.88	   446.6	   -28.9	   286.8	   242.5	   281.4	    94.9	 244.984	   1.195	   239.4	    20.0	  217150	    0.00	    0.00	    0.00	    0.00	    0.00	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
      25	 19:09:12	   4.995	  -7.000	  102.40	 1008.69	   20.84	   437.9	   -45.5	   272.0	   250.3	   283.4	    89.2	 244.940	   1.195	   238.9	    20.0	  216956	    0.00	    0.00	    0.00	    0.00	    0.00	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
      26	 19:10:02	   4.995	  -6.000	  102.07	 1008.71	   20.81	   420.8	   -26.5	   266.6	   253.1	   280.6	    64.7	 244.526	   1.195	   238.1	    20.0	  216629	    0.00	    0.00	    0.00	    0.00	    0.00	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
      27	 19:10:25	   4.995	  -5.000	  102.76	 1008.72	   20.78	   393.5	    31.1	   270.3	   250.9	   275.5	    18.8	 244.583	   1.196	   239.7	    20.0	  217397	    0.00	    0.00	    0.00	    0.00	    0.00	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
      28	 19:10:45	   4.995	  -4.000	  102.83	 1008.70	   20.76	   349.9	   222.2	   310.0	   219.7	   254.4	  -101.7	 244.494	   1.196	   239.9	    20.0	  217479	    0.00	    0.00	    0.00	    0.00	    0.00	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
      29	 19:11:05	   4.995	  -3.000	  101.96	 1008.72	   20.75	   355.0	   159.6	   296.5	   232.9	   252.5	   -74.4	 244.065	   1.196	   237.9	    19.9	  216572	    0.00	    0.00	    0.00	    0.00	    0.00	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
