  Run_nr	    Time	   Alpha	    Beta	Delta_Pb	   P_bar	       T	      B1	      B2	      B3	      B4	      B5	      B6	     rpm	     Rho	       Q	       V	      Re	 nrotor1	 nrotor2	      I1	      I2	    dptq	  Extra1	  Extra2	  Extra3	  Extra4	  Extra5	  Extra6	  Extra7	  Extra8	  Extra9	 Extra10
       /	   H:M:S	 degrees	 degrees	      Pa	     hPa	 degr._C	   steps	   steps	   steps	   steps	   steps	   steps	   1/min	  kg/m^3	      Pa	     m/s	       /	     1/s	     1/s	       A	       A	      Pa	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /
       1	 17:48:14	  -5.000	   0.000	  636.10	 1009.28	   20.36	  1708.0	  -375.6	  -699.4	  -454.1	   502.0	    58.9	 579.823	   1.198	  1497.0	    50.0	  544393	    0.00	    0.00	    0.00	    0.00	    0.00	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
       2	 17:48:52	  -4.000	   0.000	  635.66	 1009.28	   20.54	  1643.4	  -359.0	  -443.2	  -210.6	   506.9	    54.7	 579.932	   1.197	  1495.9	    50.0	  543762	    0.00	    0.00	    0.00	    0.00	    0.00	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
       3	 17:49:27	  -3.000	   0.000	  635.46	 1009.29	   20.69	  1603.6	  -333.3	  -180.3	    29.3	   535.1	    51.3	 580.110	   1.197	  1495.5	    50.0	  543339	    0.00	    0.00	    0.00	    0.00	    0.00	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
       4	 17:50:06	  -2.000	   0.000	  635.11	 1009.26	   20.81	  1590.2	  -320.8	    71.5	   269.5	   585.6	    49.0	 580.631	   1.196	  1494.6	    50.0	  542884	    0.00	    0.00	    0.00	    0.00	    0.00	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
       5	 17:50:42	  -1.000	   0.000	  634.71	 1009.24	   20.91	  1606.1	  -340.9	   302.2	   515.9	   659.1	    49.9	 580.820	   1.196	  1493.7	    50.0	  542474	    0.00	    0.00	    0.00	    0.00	    0.00	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
       6	 17:51:26	  -0.000	   0.000	  634.49	 1009.25	   21.01	  1643.0	  -347.8	   532.0	   749.8	   751.2	    52.5	 581.146	   1.195	  1493.1	    50.0	  542148	    0.00	    0.00	    0.00	    0.00	    0.00	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
       7	 17:52:25	   1.000	   0.000	  634.38	 1009.23	   21.12	  1704.4	  -348.7	   757.8	   969.8	   866.3	    61.0	 582.026	   1.195	  1492.9	    50.0	  541834	    0.00	    0.00	    0.00	    0.00	    0.00	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
       8	 17:53:02	   2.000	   0.000	  634.54	 1009.26	   21.20	  1782.8	  -342.2	   979.2	  1181.2	   997.3	    63.7	 582.507	   1.194	  1493.3	    50.0	  541738	    0.00	    0.00	    0.00	    0.00	    0.00	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
       9	 17:53:41	   3.000	   0.000	  634.36	 1009.23	   21.24	  1877.3	  -325.0	  1194.5	  1380.0	  1143.2	    63.4	 582.824	   1.194	  1492.8	    50.0	  541539	    0.00	    0.00	    0.00	    0.00	    0.00	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
      10	 17:54:19	   4.000	   0.000	  634.13	 1009.25	   21.28	  1991.9	  -304.0	  1401.2	  1566.5	  1305.1	    62.8	 583.057	   1.194	  1492.3	    50.0	  541357	    0.00	    0.00	    0.00	    0.00	    0.00	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
      11	 17:55:02	   5.000	   0.000	  634.66	 1009.24	   21.32	  2133.2	  -276.1	  1601.3	  1739.1	  1486.7	    64.1	 583.324	   1.194	  1493.6	    50.0	  541497	    0.00	    0.00	    0.00	    0.00	    0.00	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
      12	 17:57:54	  -5.000	   0.000	  407.72	 1009.15	   21.33	  1121.3	  -208.7	  -434.2	  -310.9	   341.7	    37.7	 469.692	   1.194	   955.4	    40.0	  433052	    0.00	    0.00	    0.00	    0.00	    0.00	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
      13	 17:58:34	  -4.000	   0.000	  407.80	 1009.14	   21.32	  1088.8	  -235.4	  -293.3	  -142.0	   352.2	    32.7	 469.599	   1.194	   955.6	    40.0	  433108	    0.00	    0.00	    0.00	    0.00	    0.00	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
      14	 17:59:12	  -3.000	   0.000	  407.54	 1009.14	   21.32	  1069.2	  -229.0	  -134.0	    14.3	   376.2	    28.5	 469.297	   1.194	   955.0	    40.0	  432972	    0.00	    0.00	    0.00	    0.00	    0.00	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
      15	 17:59:49	  -2.000	   0.000	  407.56	 1009.15	   21.30	  1066.0	  -195.6	    37.1	   155.0	   413.4	    27.5	 469.368	   1.194	   955.0	    40.0	  433020	    0.00	    0.00	    0.00	    0.00	    0.00	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
      16	 18:00:32	  -1.000	   0.000	  407.60	 1009.12	   21.29	  1074.0	  -181.0	   195.1	   301.1	   460.7	    25.9	 469.544	   1.194	   955.1	    40.0	  433047	    0.00	    0.00	    0.00	    0.00	    0.00	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
      17	 18:01:22	   0.000	   0.000	  407.59	 1009.12	   21.26	  1095.5	  -171.6	   348.3	   446.1	   520.2	    25.8	 469.504	   1.194	   955.1	    40.0	  433100	    0.00	    0.00	    0.00	    0.00	    0.00	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
      18	 18:02:11	   1.000	   0.000	  407.58	 1009.08	   21.24	  1134.4	  -168.3	   493.9	   586.2	   594.8	    28.9	 469.802	   1.194	   955.1	    40.0	  433127	    0.00	    0.00	    0.00	    0.00	    0.00	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
      19	 18:02:47	   2.000	   0.000	  407.68	 1009.12	   21.24	  1188.4	  -162.0	   634.4	   720.5	   683.6	    30.4	 470.094	   1.194	   955.3	    40.0	  433189	    0.00	    0.00	    0.00	    0.00	    0.00	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
      20	 18:03:25	   3.000	   0.000	  407.80	 1009.10	   21.23	  1254.4	  -165.8	   763.7	   852.1	   783.0	    32.9	 470.332	   1.194	   955.6	    40.0	  433274	    0.00	    0.00	    0.00	    0.00	    0.00	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
      21	 18:04:09	   4.000	   0.000	  407.58	 1009.08	   21.20	  1333.2	  -174.6	   885.5	   977.9	   894.2	    35.9	 470.813	   1.194	   955.1	    40.0	  433203	    0.00	    0.00	    0.00	    0.00	    0.00	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
      22	 18:05:00	   5.000	   0.000	  407.67	 1009.06	   21.18	  1419.5	  -163.3	  1008.0	  1089.8	  1012.5	    36.1	 471.339	   1.194	   955.3	    40.0	  433283	    0.00	    0.00	    0.00	    0.00	    0.00	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
