  Run_nr	    Time	   Alpha	    Beta	Delta_Pb	   P_bar	       T	      B1	      B2	      B3	      B4	      B5	      B6	     rpm	     Rho	       Q	       V	      Re	 nrotor1	 nrotor2	      I1	      I2	    dptq	  Extra1	  Extra2	  Extra3	  Extra4	  Extra5	  Extra6	  Extra7	  Extra8	  Extra9	 Extra10
       /	   H:M:S	 degrees	 degrees	      Pa	     hPa	 degr._C	   steps	   steps	   steps	   steps	   steps	   steps	   1/min	  kg/m^3	      Pa	     m/s	       /	     1/s	     1/s	       A	       A	      Pa	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /
       1	 12:50:49	  -5.000	   0.000	  231.99	 1011.48	   19.47	   649.7	   -63.6	  -218.3	  -188.1	   198.5	    10.6	 356.483	   1.204	   542.0	    30.0	  329173	    0.00	    0.00	    0.00	    0.00	    0.00	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
       2	 12:52:19	  -4.002	   0.000	  231.82	 1011.51	   19.50	   629.5	   -59.4	  -131.3	  -103.5	   205.8	     9.0	 356.419	   1.204	   541.5	    30.0	  329015	    0.00	    0.00	    0.00	    0.00	    0.00	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
       3	 12:53:33	  -2.998	   0.000	  231.86	 1011.51	   19.53	   618.3	   -61.0	   -46.1	   -15.7	   221.7	     8.8	 356.449	   1.204	   541.6	    30.0	  329004	    0.00	    0.00	    0.00	    0.00	    0.00	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
       4	 12:54:17	  -2.000	   0.000	  232.01	 1011.52	   19.54	   617.0	   -62.0	    37.9	    70.4	   245.9	     6.5	 356.553	   1.204	   542.0	    30.0	  329100	    0.00	    0.00	    0.00	    0.00	    0.00	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
       5	 12:55:18	  -1.000	   0.000	  231.65	 1011.51	   19.54	   626.0	   -64.9	   119.8	   155.6	   279.2	     6.3	 356.499	   1.204	   541.1	    30.0	  328839	    0.00	    0.00	    0.00	    0.00	    0.00	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
       6	 12:56:15	   0.000	   0.000	  231.83	 1011.51	   19.54	   648.2	   -73.7	   198.6	   240.9	   321.8	     9.5	 356.690	   1.204	   541.6	    30.0	  328970	    0.00	    0.00	    0.00	    0.00	    0.00	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
       7	 12:57:07	   1.000	   0.000	  231.95	 1011.51	   19.54	   672.2	   -73.2	   280.4	   319.7	   368.8	    12.0	 356.796	   1.204	   541.8	    30.0	  329053	    0.00	    0.00	    0.00	    0.00	    0.00	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
       8	 12:57:50	   2.000	   0.000	  231.86	 1011.53	   19.54	   699.9	   -69.1	   359.7	   395.7	   419.9	    12.5	 356.815	   1.204	   541.6	    30.0	  328994	    0.00	    0.00	    0.00	    0.00	    0.00	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
       9	 12:59:52	   3.000	   0.000	  231.92	 1011.49	   19.54	   734.5	   -73.0	   432.7	   473.6	   478.0	    11.1	 357.082	   1.204	   541.8	    30.0	  329032	    0.00	    0.00	    0.00	    0.00	    0.00	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
