   Runnr	   Alpha	      Cn	      Ct	      Cm	      Cd	      Cl	Cl-press	Cd-press	  Z-w.r.	    Flap	      Re	       M	       Q	       V	     Dpb	   P-bar	       T	  Cpt_01	  Cpt_02	  Cpt_03	  Cpt_04	  Cpt_05	  Cpt_06	  Cpt_07	  Cpt_08	  Cpt_09	  Cpt_10	  Cpt_11	  Cpt_12	  Cpt_13	  Cpt_14	  Cpt_15	  Cpt_16	  Cpt_17	  Cpt_18	  Cpt_19	  Cpt_20	  Cpt_21	  Cpt_22	  Cpt_23	  Cpt_24	  Cpt_25	  Cpt_26	  Cpt_27	  Cpt_28	  Cpt_29	  Cpt_30	  Cpt_31	  Cpt_32	  Cpt_33	  Cpt_34	  Cpt_35	  Cpt_36	  Cpt_37	  Cpt_38	  Cpt_39	  Cpt_40	  Cpt_41	  Cpt_42	  Cpt_43	  Cpt_44	  Cpt_45	  Cpt_46	  Cpt_47	  Cpt_48	  Cpt_49	  Cpt_50	  Cps_01	  Cps_02	  Cps_03	  Cps_04	  Cps_05	  Cps_06	  Cps_07	  Cps_08	  Cps_09	  Cps_10	  Cps_11	  Cps_12	  Cps_13	  Cps_14
       /	 degrees	       /	       /	       /	       /	       /	       /	       /	      mm	 degrees	       /	       /	      Pa	     m/s	      Pa	      Pa	  degr_C	    0.00	   12.00	   24.00	   36.00	   42.00	   48.00	   54.00	   60.00	   66.00	   72.00	   75.00	   78.00	   81.00	   84.00	   87.00	   90.00	   93.00	   96.00	   99.00	  102.00	  105.00	  108.00	  111.00	  114.00	  117.00	  120.00	  123.00	  126.00	  129.00	  132.00	  135.00	  138.00	  141.00	  144.00	  147.00	  150.00	  153.00	  156.00	  159.00	  162.00	  165.00	  168.00	  171.00	  174.00	  177.00	  183.00	  189.00	  195.00	  207.00	  219.00	    0.00	   51.00	   63.00	   75.00	   87.00	   99.00	  111.00	  123.00	  135.00	  147.00	  159.00	  171.00	  183.00	  219.00
       1	  -0.000	     NaN	     NaN	     NaN	0.300000	     NaN	     NaN	     NaN	    0.00	   0.000	4.361E+5	   0.116	  959.67	   40.00	   409.5	 1010.64	   20.40	-0.06844	-0.06882	-0.06862	-0.06905	-0.06875	-0.06858	-0.06843	-0.06851	-0.06867	-0.06858	-0.06854	-0.06858	-0.06872	-0.06879	-0.06889	-0.06887	-0.06857	-0.06837	-0.06883	-0.06833	-0.06859	-0.06868	-0.06840	-0.06887	-0.06861	-0.06861	-0.06866	-0.06852	-0.06849	-0.06876	-0.06858	-0.06882	-0.06864	-0.06864	-0.06852	-0.06892	-0.06874	-0.06862	-0.06865	-0.06866	-0.06856	-0.06881	-0.06861	-0.06869	-0.06863	-0.06858	-0.06873	-0.06854	-0.06868	-0.06842	-0.06805	-0.06861	-0.06874	-0.06864	-0.06865	-0.06881	-0.06853	-0.06861	-0.06875	-0.06885	-0.06853	-0.06869	-0.06878	-0.06903	Wake too large! -> Pt pitot is used for pt0; Wake not in center of rake!; cpt_wake < 0; 
       2	  -0.000	     NaN	     NaN	     NaN	0.300000	     NaN	     NaN	     NaN	    0.00	   0.000	4.360E+5	   0.116	  959.69	   40.01	   409.5	 1010.62	   20.45	-0.06702	-0.06743	-0.06721	-0.06762	-0.06736	-0.06716	-0.06703	-0.06708	-0.06726	-0.06724	-0.06711	-0.06714	-0.06730	-0.06737	-0.06751	-0.06744	-0.06718	-0.06698	-0.06738	-0.06691	-0.06716	-0.06725	-0.06698	-0.06745	-0.06718	-0.06724	-0.06724	-0.06710	-0.06708	-0.06736	-0.06717	-0.06737	-0.06720	-0.06718	-0.06712	-0.06750	-0.06733	-0.06723	-0.06720	-0.06728	-0.06719	-0.06738	-0.06718	-0.06730	-0.06722	-0.06714	-0.06731	-0.06708	-0.06724	-0.06699	-0.06687	-0.06721	-0.06729	-0.06719	-0.06723	-0.06740	-0.06709	-0.06720	-0.06733	-0.06745	-0.06710	-0.06727	-0.06736	-0.06762	Wake too large! -> Pt pitot is used for pt0; Wake not in center of rake!; cpt_wake < 0; 
       3	  -0.000	     NaN	     NaN	     NaN	0.300000	     NaN	     NaN	     NaN	    0.00	   0.000	4.359E+5	   0.116	  959.49	   40.01	   409.5	 1010.65	   20.50	-0.06576	-0.06614	-0.06594	-0.06638	-0.06609	-0.06589	-0.06572	-0.06585	-0.06598	-0.06596	-0.06582	-0.06590	-0.06603	-0.06612	-0.06625	-0.06617	-0.06590	-0.06573	-0.06611	-0.06564	-0.06590	-0.06596	-0.06571	-0.06619	-0.06593	-0.06598	-0.06595	-0.06585	-0.06580	-0.06609	-0.06592	-0.06613	-0.06595	-0.06594	-0.06586	-0.06622	-0.06607	-0.06596	-0.06599	-0.06601	-0.06586	-0.06611	-0.06592	-0.06603	-0.06596	-0.06587	-0.06602	-0.06583	-0.06600	-0.06572	-0.06565	-0.06594	-0.06601	-0.06594	-0.06597	-0.06612	-0.06582	-0.06591	-0.06607	-0.06617	-0.06584	-0.06600	-0.06608	-0.06631	Wake too large! -> Pt pitot is used for pt0; Wake not in center of rake!; cpt_wake < 0; 
       4	  -0.000	     NaN	     NaN	     NaN	0.300000	     NaN	     NaN	     NaN	    0.00	   0.000	4.358E+5	   0.116	  959.47	   40.01	   409.4	 1010.60	   20.53	-0.06516	-0.06553	-0.06534	-0.06579	-0.06548	-0.06529	-0.06517	-0.06523	-0.06537	-0.06537	-0.06522	-0.06529	-0.06543	-0.06549	-0.06567	-0.06558	-0.06530	-0.06514	-0.06547	-0.06507	-0.06528	-0.06537	-0.06509	-0.06558	-0.06530	-0.06539	-0.06536	-0.06522	-0.06521	-0.06550	-0.06531	-0.06554	-0.06534	-0.06533	-0.06524	-0.06563	-0.06546	-0.06537	-0.06539	-0.06539	-0.06526	-0.06551	-0.06532	-0.06544	-0.06536	-0.06528	-0.06541	-0.06526	-0.06539	-0.06511	-0.06510	-0.06534	-0.06540	-0.06534	-0.06536	-0.06552	-0.06524	-0.06535	-0.06546	-0.06558	-0.06524	-0.06540	-0.06550	-0.06578	Wake too large! -> Pt pitot is used for pt0; Wake not in center of rake!; cpt_wake < 0; 
       5	  -0.000	     NaN	     NaN	     NaN	0.300000	     NaN	     NaN	     NaN	    0.00	   0.000	4.356E+5	   0.116	  958.89	   40.00	   409.2	 1010.63	   20.57	-0.06386	-0.06421	-0.06403	-0.06451	-0.06420	-0.06398	-0.06384	-0.06393	-0.06404	-0.06406	-0.06392	-0.06398	-0.06413	-0.06419	-0.06437	-0.06425	-0.06404	-0.06385	-0.06415	-0.06376	-0.06397	-0.06407	-0.06382	-0.06426	-0.06401	-0.06410	-0.06405	-0.06394	-0.06389	-0.06416	-0.06397	-0.06423	-0.06404	-0.06403	-0.06391	-0.06431	-0.06415	-0.06405	-0.06405	-0.06406	-0.06395	-0.06422	-0.06400	-0.06416	-0.06405	-0.06397	-0.06413	-0.06392	-0.06407	-0.06378	-0.06365	-0.06401	-0.06410	-0.06404	-0.06406	-0.06421	-0.06392	-0.06401	-0.06415	-0.06426	-0.06396	-0.06411	-0.06420	-0.06446	Wake too large! -> Pt pitot is used for pt0; Wake not in center of rake!; cpt_wake < 0; 
       6	  -0.000	     NaN	     NaN	     NaN	0.300000	     NaN	     NaN	     NaN	    0.00	   0.000	4.356E+5	   0.116	  959.21	   40.01	   409.3	 1010.59	   20.61	-0.06148	-0.06181	-0.06165	-0.06205	-0.06179	-0.06156	-0.06146	-0.06150	-0.06160	-0.06173	-0.06148	-0.06158	-0.06171	-0.06178	-0.06196	-0.06184	-0.06161	-0.06145	-0.06171	-0.06138	-0.06155	-0.06163	-0.06143	-0.06186	-0.06157	-0.06170	-0.06161	-0.06151	-0.06150	-0.06178	-0.06157	-0.06183	-0.06160	-0.06160	-0.06150	-0.06190	-0.06171	-0.06164	-0.06161	-0.06164	-0.06157	-0.06180	-0.06158	-0.06176	-0.06161	-0.06155	-0.06169	-0.06152	-0.06164	-0.06136	-0.06120	-0.06159	-0.06168	-0.06161	-0.06162	-0.06177	-0.06145	-0.06158	-0.06167	-0.06199	-0.06152	-0.06166	-0.06175	-0.06200	Wake too large! -> Pt pitot is used for pt0; Wake not in center of rake!; cpt_wake < 0; 
       7	  -0.000	     NaN	     NaN	     NaN	0.300000	     NaN	     NaN	     NaN	    0.00	   0.000	4.354E+5	   0.116	  958.51	   40.00	   409.0	 1010.55	   20.63	-0.06045	-0.06079	-0.06061	-0.06102	-0.06080	-0.06053	-0.06046	-0.06048	-0.06057	-0.06071	-0.06048	-0.06053	-0.06066	-0.06077	-0.06098	-0.06083	-0.06063	-0.06047	-0.06065	-0.06035	-0.06053	-0.06060	-0.06040	-0.06081	-0.06053	-0.06068	-0.06059	-0.06048	-0.06048	-0.06070	-0.06054	-0.06082	-0.06059	-0.06059	-0.06048	-0.06089	-0.06070	-0.06059	-0.06060	-0.06064	-0.06053	-0.06077	-0.06057	-0.06077	-0.06062	-0.06054	-0.06066	-0.06051	-0.06063	-0.06035	-0.06022	-0.06058	-0.06066	-0.06058	-0.06059	-0.06075	-0.06044	-0.06055	-0.06064	-0.06082	-0.06047	-0.06065	-0.06074	-0.06101	Wake too large! -> Pt pitot is used for pt0; Wake not in center of rake!; cpt_wake < 0; 
       8	  -0.000	     NaN	     NaN	     NaN	0.300000	     NaN	     NaN	     NaN	    0.00	   0.000	4.353E+5	   0.116	  958.56	   40.00	   409.1	 1010.56	   20.67	-0.05947	-0.05983	-0.05966	-0.06003	-0.05984	-0.05956	-0.05949	-0.05954	-0.05960	-0.05976	-0.05948	-0.05958	-0.05971	-0.05978	-0.06001	-0.05986	-0.05965	-0.05954	-0.05964	-0.05940	-0.05954	-0.05964	-0.05944	-0.05983	-0.05955	-0.05973	-0.05959	-0.05949	-0.05952	-0.05976	-0.05955	-0.05982	-0.05962	-0.05960	-0.05949	-0.05989	-0.05971	-0.05962	-0.05962	-0.05967	-0.05954	-0.05978	-0.05957	-0.05980	-0.05962	-0.05955	-0.05970	-0.05950	-0.05966	-0.05936	-0.05910	-0.05956	-0.05966	-0.05958	-0.05962	-0.05973	-0.05944	-0.05957	-0.05968	-0.05983	-0.05951	-0.05965	-0.05975	-0.06003	Wake too large! -> Pt pitot is used for pt0; Wake not in center of rake!; cpt_wake < 0; 
       9	  -0.000	     NaN	     NaN	     NaN	0.300000	     NaN	     NaN	     NaN	    0.00	   0.000	4.353E+5	   0.116	  958.64	   40.00	   409.1	 1010.57	   20.70	-0.05942	-0.05977	-0.05962	-0.06000	-0.05977	-0.05947	-0.05943	-0.05946	-0.05954	-0.05971	-0.05945	-0.05954	-0.05963	-0.05968	-0.05997	-0.05979	-0.05960	-0.05946	-0.05957	-0.05938	-0.05948	-0.05959	-0.05941	-0.05977	-0.05948	-0.05970	-0.05955	-0.05944	-0.05946	-0.05971	-0.05950	-0.05976	-0.05955	-0.05956	-0.05941	-0.05984	-0.05964	-0.05956	-0.05956	-0.05957	-0.05949	-0.05974	-0.05953	-0.05975	-0.05957	-0.05951	-0.05964	-0.05947	-0.05962	-0.05929	-0.05915	-0.05953	-0.05962	-0.05953	-0.05955	-0.05967	-0.05938	-0.05954	-0.05963	-0.05974	-0.05945	-0.05961	-0.05971	-0.06000	Wake too large! -> Pt pitot is used for pt0; Wake not in center of rake!; cpt_wake < 0; 
