   Runnr	   Alpha	      Cn	      Ct	      Cm	      Cd	      Cl	Cl-press	Cd-press	  Z-w.r.	    Flap	      Re	       M	       Q	       V	     Dpb	   P-bar	       T	  Cpt_01	  Cpt_02	  Cpt_03	  Cpt_04	  Cpt_05	  Cpt_06	  Cpt_07	  Cpt_08	  Cpt_09	  Cpt_10	  Cpt_11	  Cpt_12	  Cpt_13	  Cpt_14	  Cpt_15	  Cpt_16	  Cpt_17	  Cpt_18	  Cpt_19	  Cpt_20	  Cpt_21	  Cpt_22	  Cpt_23	  Cpt_24	  Cpt_25	  Cpt_26	  Cpt_27	  Cpt_28	  Cpt_29	  Cpt_30	  Cpt_31	  Cpt_32	  Cpt_33	  Cpt_34	  Cpt_35	  Cpt_36	  Cpt_37	  Cpt_38	  Cpt_39	  Cpt_40	  Cpt_41	  Cpt_42	  Cpt_43	  Cpt_44	  Cpt_45	  Cpt_46	  Cpt_47	  Cpt_48	  Cpt_49	  Cpt_50	  Cps_01	  Cps_02	  Cps_03	  Cps_04	  Cps_05	  Cps_06	  Cps_07	  Cps_08	  Cps_09	  Cps_10	  Cps_11	  Cps_12	  Cps_13	  Cps_14
       /	 degrees	       /	       /	       /	       /	       /	       /	       /	      mm	 degrees	       /	       /	      Pa	     m/s	      Pa	      Pa	  degr_C	    0.00	   12.00	   24.00	   36.00	   42.00	   48.00	   54.00	   60.00	   66.00	   72.00	   75.00	   78.00	   81.00	   84.00	   87.00	   90.00	   93.00	   96.00	   99.00	  102.00	  105.00	  108.00	  111.00	  114.00	  117.00	  120.00	  123.00	  126.00	  129.00	  132.00	  135.00	  138.00	  141.00	  144.00	  147.00	  150.00	  153.00	  156.00	  159.00	  162.00	  165.00	  168.00	  171.00	  174.00	  177.00	  183.00	  189.00	  195.00	  207.00	  219.00	    0.00	   51.00	   63.00	   75.00	   87.00	   99.00	  111.00	  123.00	  135.00	  147.00	  159.00	  171.00	  183.00	  219.00
       1	   0.000	     NaN	     NaN	     NaN	0.300000	     NaN	     NaN	     NaN	    0.00	   0.000	5.401E+5	   0.145	 1490.53	   50.00	   633.4	 1008.86	   21.64	-0.06635	-0.06625	-0.06627	-0.06623	-0.06630	-0.06614	-0.06629	-0.06619	-0.06630	-0.06658	-0.06631	-0.06630	-0.06625	-0.06630	-0.06639	-0.06631	-0.06634	-0.06638	-0.06597	-0.06633	-0.06633	-0.06614	-0.06630	-0.06618	-0.06620	-0.06621	-0.06606	-0.06630	-0.06622	-0.06647	-0.06619	-0.06621	-0.06621	-0.06618	-0.06614	-0.06619	-0.06611	-0.06612	-0.06617	-0.06623	-0.06635	-0.06628	-0.06635	-0.06643	-0.06617	-0.06629	-0.06613	-0.06622	-0.06619	-0.06624	-0.06657	-0.06632	-0.06626	-0.06620	-0.06620	-0.06616	-0.06635	-0.06619	-0.06612	-0.06634	-0.06629	-0.06623	-0.06609	-0.06565	Wake too large! -> Pt pitot is used for pt0; Wake not in center of rake!; cpt_wake < 0; 
       2	   0.000	     NaN	     NaN	     NaN	0.300000	     NaN	     NaN	     NaN	    0.00	   0.000	5.401E+5	   0.145	 1491.59	   50.03	   633.8	 1008.90	   21.75	-0.06523	-0.06512	-0.06511	-0.06510	-0.06517	-0.06499	-0.06518	-0.06507	-0.06516	-0.06549	-0.06520	-0.06515	-0.06511	-0.06517	-0.06529	-0.06516	-0.06524	-0.06528	-0.06483	-0.06517	-0.06520	-0.06505	-0.06516	-0.06507	-0.06508	-0.06509	-0.06496	-0.06517	-0.06511	-0.06532	-0.06505	-0.06512	-0.06508	-0.06503	-0.06500	-0.06506	-0.06497	-0.06500	-0.06504	-0.06508	-0.06523	-0.06516	-0.06523	-0.06529	-0.06503	-0.06518	-0.06501	-0.06505	-0.06505	-0.06512	-0.06538	-0.06515	-0.06510	-0.06507	-0.06507	-0.06505	-0.06522	-0.06509	-0.06500	-0.06525	-0.06517	-0.06509	-0.06496	-0.06457	Wake too large! -> Pt pitot is used for pt0; Wake not in center of rake!; cpt_wake < 0; 
       3	   0.000	     NaN	     NaN	     NaN	0.300000	     NaN	     NaN	     NaN	    0.00	   0.000	5.394E+5	   0.145	 1489.34	   50.00	   632.9	 1008.88	   21.84	-0.06507	-0.06500	-0.06498	-0.06496	-0.06505	-0.06483	-0.06504	-0.06495	-0.06503	-0.06539	-0.06505	-0.06501	-0.06498	-0.06502	-0.06516	-0.06504	-0.06513	-0.06515	-0.06470	-0.06507	-0.06510	-0.06492	-0.06505	-0.06493	-0.06496	-0.06500	-0.06483	-0.06503	-0.06499	-0.06522	-0.06494	-0.06496	-0.06494	-0.06490	-0.06488	-0.06491	-0.06482	-0.06485	-0.06493	-0.06496	-0.06509	-0.06502	-0.06508	-0.06520	-0.06492	-0.06503	-0.06487	-0.06494	-0.06490	-0.06498	-0.06544	-0.06504	-0.06495	-0.06494	-0.06495	-0.06489	-0.06503	-0.06491	-0.06482	-0.06508	-0.06499	-0.06494	-0.06478	-0.06430	Wake too large! -> Pt pitot is used for pt0; Wake not in center of rake!; cpt_wake < 0; 
       4	   0.000	     NaN	     NaN	     NaN	0.300000	     NaN	     NaN	     NaN	    0.00	   0.000	5.395E+5	   0.145	 1490.20	   50.02	   633.3	 1008.88	   21.89	-0.06360	-0.06354	-0.06356	-0.06353	-0.06358	-0.06341	-0.06359	-0.06351	-0.06356	-0.06392	-0.06360	-0.06355	-0.06351	-0.06354	-0.06370	-0.06355	-0.06362	-0.06368	-0.06321	-0.06364	-0.06359	-0.06345	-0.06357	-0.06344	-0.06347	-0.06352	-0.06337	-0.06355	-0.06350	-0.06375	-0.06346	-0.06350	-0.06349	-0.06343	-0.06342	-0.06344	-0.06337	-0.06343	-0.06346	-0.06351	-0.06364	-0.06355	-0.06362	-0.06374	-0.06345	-0.06358	-0.06343	-0.06349	-0.06348	-0.06350	-0.06402	-0.06360	-0.06350	-0.06350	-0.06348	-0.06346	-0.06361	-0.06348	-0.06338	-0.06364	-0.06357	-0.06352	-0.06336	-0.06290	Wake too large! -> Pt pitot is used for pt0; Wake not in center of rake!; cpt_wake < 0; 
       5	   0.000	     NaN	     NaN	     NaN	0.300000	     NaN	     NaN	     NaN	    0.00	   0.000	5.394E+5	   0.145	 1490.13	   50.02	   633.2	 1008.90	   21.93	-0.06138	-0.06129	-0.06130	-0.06125	-0.06135	-0.06112	-0.06133	-0.06124	-0.06127	-0.06166	-0.06132	-0.06128	-0.06123	-0.06129	-0.06144	-0.06133	-0.06141	-0.06144	-0.06094	-0.06136	-0.06130	-0.06115	-0.06134	-0.06118	-0.06118	-0.06126	-0.06109	-0.06129	-0.06123	-0.06145	-0.06117	-0.06123	-0.06121	-0.06117	-0.06116	-0.06118	-0.06110	-0.06114	-0.06120	-0.06125	-0.06135	-0.06129	-0.06134	-0.06146	-0.06119	-0.06131	-0.06117	-0.06121	-0.06119	-0.06124	-0.06170	-0.06133	-0.06124	-0.06120	-0.06120	-0.06116	-0.06132	-0.06123	-0.06109	-0.06133	-0.06127	-0.06124	-0.06107	-0.06055	Wake too large! -> Pt pitot is used for pt0; Wake not in center of rake!; cpt_wake < 0; 
       6	   0.000	     NaN	     NaN	     NaN	0.300000	     NaN	     NaN	     NaN	    0.00	   0.000	5.390E+5	   0.145	 1488.88	   50.01	   632.7	 1008.85	   21.98	-0.05967	-0.05959	-0.05960	-0.05955	-0.05965	-0.05945	-0.05961	-0.05952	-0.05960	-0.05999	-0.05960	-0.05958	-0.05953	-0.05962	-0.05976	-0.05959	-0.05971	-0.05975	-0.05926	-0.05966	-0.05961	-0.05946	-0.05962	-0.05949	-0.05950	-0.05954	-0.05936	-0.05957	-0.05953	-0.05977	-0.05954	-0.05953	-0.05951	-0.05947	-0.05946	-0.05949	-0.05935	-0.05942	-0.05949	-0.05956	-0.05963	-0.05958	-0.05966	-0.05979	-0.05948	-0.05960	-0.05944	-0.05952	-0.05948	-0.05953	-0.05999	-0.05962	-0.05954	-0.05949	-0.05951	-0.05946	-0.05963	-0.05949	-0.05940	-0.05963	-0.05958	-0.05954	-0.05939	-0.05894	Wake too large! -> Pt pitot is used for pt0; Wake not in center of rake!; cpt_wake < 0; 
       7	   0.000	     NaN	     NaN	     NaN	0.300000	     NaN	     NaN	     NaN	    0.00	   0.000	5.388E+5	   0.145	 1488.18	   50.00	   632.4	 1008.84	   22.01	-0.05743	-0.05737	-0.05736	-0.05730	-0.05738	-0.05719	-0.05740	-0.05728	-0.05734	-0.05777	-0.05739	-0.05734	-0.05730	-0.05734	-0.05750	-0.05739	-0.05749	-0.05750	-0.05699	-0.05744	-0.05739	-0.05726	-0.05741	-0.05725	-0.05727	-0.05733	-0.05714	-0.05735	-0.05733	-0.05754	-0.05727	-0.05730	-0.05728	-0.05722	-0.05720	-0.05723	-0.05717	-0.05719	-0.05723	-0.05731	-0.05741	-0.05735	-0.05738	-0.05753	-0.05724	-0.05738	-0.05721	-0.05728	-0.05727	-0.05732	-0.05763	-0.05739	-0.05733	-0.05728	-0.05728	-0.05724	-0.05741	-0.05725	-0.05715	-0.05741	-0.05733	-0.05731	-0.05713	-0.05661	Wake too large! -> Pt pitot is used for pt0; Wake not in center of rake!; cpt_wake < 0; 
       8	   0.000	     NaN	     NaN	     NaN	0.300000	     NaN	     NaN	     NaN	    0.00	   0.000	5.390E+5	   0.145	 1489.35	   50.02	   632.9	 1008.88	   22.03	-0.05765	-0.05754	-0.05755	-0.05751	-0.05761	-0.05739	-0.05757	-0.05748	-0.05753	-0.05797	-0.05756	-0.05755	-0.05748	-0.05755	-0.05773	-0.05755	-0.05766	-0.05773	-0.05716	-0.05763	-0.05757	-0.05745	-0.05757	-0.05743	-0.05742	-0.05752	-0.05733	-0.05755	-0.05749	-0.05773	-0.05746	-0.05750	-0.05744	-0.05740	-0.05736	-0.05743	-0.05734	-0.05739	-0.05742	-0.05747	-0.05760	-0.05755	-0.05758	-0.05770	-0.05741	-0.05755	-0.05741	-0.05746	-0.05744	-0.05747	-0.05782	-0.05754	-0.05747	-0.05744	-0.05744	-0.05737	-0.05756	-0.05742	-0.05735	-0.05761	-0.05753	-0.05746	-0.05732	-0.05690	Wake too large! -> Pt pitot is used for pt0; Wake not in center of rake!; cpt_wake < 0; 
       9	   0.000	     NaN	     NaN	     NaN	0.300000	     NaN	     NaN	     NaN	    0.00	   0.000	5.387E+5	   0.145	 1488.43	   50.00	   632.5	 1008.89	   22.06	-0.05741	-0.05729	-0.05731	-0.05728	-0.05738	-0.05717	-0.05735	-0.05726	-0.05729	-0.05775	-0.05734	-0.05735	-0.05726	-0.05731	-0.05749	-0.05733	-0.05744	-0.05747	-0.05693	-0.05741	-0.05733	-0.05720	-0.05736	-0.05720	-0.05721	-0.05729	-0.05708	-0.05726	-0.05726	-0.05750	-0.05720	-0.05726	-0.05722	-0.05720	-0.05718	-0.05720	-0.05711	-0.05719	-0.05720	-0.05722	-0.05739	-0.05730	-0.05737	-0.05751	-0.05717	-0.05734	-0.05717	-0.05725	-0.05720	-0.05726	-0.05764	-0.05734	-0.05727	-0.05722	-0.05723	-0.05718	-0.05734	-0.05719	-0.05711	-0.05736	-0.05731	-0.05725	-0.05710	-0.05665	Wake too large! -> Pt pitot is used for pt0; Wake not in center of rake!; cpt_wake < 0; 
      10	   0.000	     NaN	     NaN	     NaN	0.300000	     NaN	     NaN	     NaN	    0.00	   0.000	5.386E+5	   0.145	 1488.16	   50.00	   632.4	 1008.88	   22.10	-0.05789	-0.05780	-0.05784	-0.05776	-0.05789	-0.05766	-0.05786	-0.05775	-0.05779	-0.05826	-0.05783	-0.05783	-0.05775	-0.05781	-0.05802	-0.05784	-0.05797	-0.05800	-0.05742	-0.05797	-0.05783	-0.05771	-0.05787	-0.05770	-0.05771	-0.05780	-0.05760	-0.05781	-0.05778	-0.05801	-0.05771	-0.05777	-0.05773	-0.05768	-0.05766	-0.05773	-0.05761	-0.05767	-0.05772	-0.05773	-0.05785	-0.05781	-0.05786	-0.05802	-0.05770	-0.05784	-0.05768	-0.05773	-0.05774	-0.05774	-0.05804	-0.05781	-0.05776	-0.05771	-0.05772	-0.05766	-0.05784	-0.05774	-0.05762	-0.05790	-0.05783	-0.05775	-0.05762	-0.05724	Wake too large! -> Pt pitot is used for pt0; Wake not in center of rake!; cpt_wake < 0; 
      11	   0.000	     NaN	     NaN	     NaN	0.300000	     NaN	     NaN	     NaN	    0.00	   0.000	5.386E+5	   0.145	 1488.56	   50.01	   632.6	 1008.88	   22.12	-0.05712	-0.05702	-0.05706	-0.05699	-0.05710	-0.05689	-0.05706	-0.05696	-0.05701	-0.05749	-0.05705	-0.05702	-0.05696	-0.05699	-0.05722	-0.05705	-0.05716	-0.05721	-0.05661	-0.05712	-0.05705	-0.05691	-0.05708	-0.05691	-0.05690	-0.05700	-0.05677	-0.05700	-0.05695	-0.05719	-0.05692	-0.05699	-0.05693	-0.05688	-0.05684	-0.05690	-0.05678	-0.05688	-0.05690	-0.05693	-0.05704	-0.05701	-0.05705	-0.05720	-0.05691	-0.05704	-0.05688	-0.05694	-0.05691	-0.05694	-0.05727	-0.05701	-0.05695	-0.05692	-0.05691	-0.05687	-0.05700	-0.05690	-0.05682	-0.05706	-0.05702	-0.05692	-0.05679	-0.05642	Wake too large! -> Pt pitot is used for pt0; Wake not in center of rake!; cpt_wake < 0; 
