  Run_nr	   Alpha	    Beta	      CL	      CD	    Cyaw	 Cm_p_qc	      Ct	      Cn	   Cside	 Cm_roll	Cm_pitch	  Cm_yaw	      Cx	      Cy	      Cz	    Cm_x	    Cm_y	    Cm_z	      Fx	      Fy	      Fz	      Mx	      My	      Mz	     DPb	    Pbar	       T	     Rho	       Q	       V	      Re	       M
       /	 degrees	 degrees	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /	       N	       N	       N	      Nm	      Nm	      Nm	      Pa	      Pa	 degr. C	  kg/m^3	      Pa	     m/s	       /	       /
       1	   0.000	 -10.000	  0.2647	0.041150	-0.10731	-0.04012	0.021888	  0.2647	-0.112829	 0.00249	-0.10630	 0.01917	0.021890	0.112829	0.264717	 0.02085	-0.10986	 0.01917	   10.58	   38.85	   94.18	   10.05	   -5.35	    9.24	  633.35	 1008.86	   21.63	   1.192	  1490.4	   50.00	4.197E+5	   0.145
       2	   0.000	  -9.000	  0.2620	0.038484	-0.10046	-0.03792	0.022294	  0.2620	-0.105240	 0.00318	-0.10342	 0.01951	0.022295	0.105240	0.262024	 0.02030	-0.10705	 0.01951	   10.73	   36.26	   93.32	    9.79	   -5.19	    9.41	  633.83	 1008.90	   21.75	   1.192	  1491.6	   50.03	4.196E+5	   0.145
       3	   0.000	  -8.000	  0.2589	0.036327	-0.09019	-0.03741	0.023421	  0.2589	-0.094365	 0.00349	-0.10214	 0.01883	0.023422	0.094365	0.258917	 0.01884	-0.10595	 0.01883	   11.10	   32.47	   92.11	    9.08	   -5.12	    9.07	  632.90	 1008.88	   21.84	   1.191	  1489.4	   50.00	4.191E+5	   0.145
       4	   0.000	  -7.000	  0.2539	0.034556	-0.07690	-0.03910	0.024925	  0.2539	-0.080536	 0.00325	-0.10257	 0.01712	0.024927	0.080536	0.253886	 0.01636	-0.10663	 0.01712	   11.63	   27.73	   90.44	    7.88	   -5.16	    8.25	  633.33	 1008.88	   21.89	   1.191	  1490.4	   50.02	4.192E+5	   0.145
       5	   0.000	  -6.000	  0.2488	0.032949	-0.06205	-0.04141	0.026281	  0.2488	-0.065149	 0.00262	-0.10361	 0.01465	0.026283	0.065149	0.248797	 0.01322	-0.10789	 0.01465	   12.09	   22.42	   88.67	    6.37	   -5.24	    7.06	  633.19	 1008.89	   21.93	   1.191	  1490.0	   50.02	4.191E+5	   0.145
       6	   0.000	  -5.000	  0.2442	0.031544	-0.04555	-0.04234	0.027453	  0.2442	-0.048124	 0.00198	-0.10340	 0.01160	0.027455	0.048124	0.244222	 0.00981	-0.10787	 0.01160	   12.48	   16.55	   87.04	    4.72	   -5.23	    5.59	  632.77	 1008.84	   21.98	   1.191	  1489.0	   50.01	4.188E+5	   0.145
       7	   0.000	  -4.000	  0.2446	0.030239	-0.03036	-0.04122	0.028046	  0.2446	-0.032396	 0.00155	-0.10237	 0.00905	0.028047	0.032396	0.244634	 0.00682	-0.10694	 0.00905	   12.68	   11.14	   87.13	    3.28	   -5.17	    4.36	  632.39	 1008.84	   22.01	   1.191	  1488.2	   50.00	4.186E+5	   0.145
       8	   0.000	  -3.000	  0.2436	0.029404	-0.01608	-0.04225	0.028521	  0.2436	-0.017593	 0.00144	-0.10314	 0.00674	0.028522	0.017593	0.243564	 0.00430	-0.10778	 0.00674	   12.85	    6.05	   86.83	    2.07	   -5.23	    3.25	  632.87	 1008.88	   22.03	   1.191	  1489.3	   50.02	4.188E+5	   0.145
       9	   0.000	  -2.000	  0.2432	0.028296	-0.00677	-0.04270	0.028041	  0.2432	-0.007754	 0.00090	-0.10351	 0.00456	0.028043	0.007754	0.243219	 0.00217	-0.10807	 0.00456	   12.68	    2.67	   86.65	    1.04	   -5.24	    2.19	  632.48	 1008.89	   22.06	   1.191	  1488.4	   50.00	4.186E+5	   0.145
