  Run_nr	   Alpha	    Beta	      CL	      CD	    Cyaw	 Cm_p_qc	      Ct	      Cn	   Cside	 Cm_roll	Cm_pitch	  Cm_yaw	      Cx	      Cy	      Cz	    Cm_x	    Cm_y	    Cm_z	      Fx	      Fy	      Fz	      Mx	      My	      Mz	     DPb	    Pbar	       T	     Rho	       Q	       V	      Re	       M
       /	 degrees	 degrees	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /	       N	       N	       N	      Nm	      Nm	      Nm	      Pa	      Pa	 degr. C	  kg/m^3	      Pa	     m/s	       /	       /
       1	  -0.000	 -10.000	  0.2976	0.056869	-0.07316	-0.07429	0.043301	  0.2976	-0.081928	 0.00070	-0.14869	 0.00759	0.043300	0.081928	0.297610	 0.01403	-0.15574	 0.00759	   11.56	   18.16	   67.93	    4.35	   -5.12	    2.36	  409.54	 1010.64	   20.40	   1.199	   959.7	   40.00	3.388E+5	   0.116
       2	  -0.000	  -9.000	  0.2937	0.046863	-0.11492	-0.04649	0.028309	  0.2937	-0.120835	 0.00379	-0.11992	 0.02189	0.028308	0.120835	0.293740	 0.02345	-0.12453	 0.02189	    8.24	   26.79	   67.07	    7.28	   -3.98	    6.79	  409.53	 1010.62	   20.45	   1.199	   959.7	   40.01	3.388E+5	   0.116
       3	  -0.000	  -8.000	  0.2913	0.044764	-0.10183	-0.04757	0.030158	  0.2913	-0.107067	 0.00399	-0.12041	 0.02041	0.030157	0.107067	0.291345	 0.02141	-0.12531	 0.02041	    8.64	   23.73	   66.53	    6.64	   -4.01	    6.33	  409.45	 1010.65	   20.50	   1.199	   959.5	   40.01	3.387E+5	   0.116
       4	  -0.000	  -7.000	  0.2880	0.043110	-0.08693	-0.04976	0.032196	  0.2880	-0.091532	 0.00372	-0.12175	 0.01821	0.032195	0.091532	0.287972	 0.01861	-0.12699	 0.01821	    9.09	   20.29	   65.78	    5.77	   -4.07	    5.65	  409.43	 1010.60	   20.54	   1.199	   959.4	   40.01	3.386E+5	   0.116
       5	  -0.000	  -6.000	  0.2812	0.041779	-0.07100	-0.05352	0.034130	  0.2812	-0.074980	 0.00299	-0.12381	 0.01536	0.034129	0.074980	0.281163	 0.01519	-0.12936	 0.01536	    9.52	   16.61	   64.23	    4.71	   -4.15	    4.76	  409.19	 1010.63	   20.57	   1.199	   958.9	   40.00	3.384E+5	   0.116
       6	  -0.000	  -5.000	  0.2765	0.040276	-0.05269	-0.05385	0.035532	  0.2765	-0.056001	 0.00204	-0.12297	 0.01163	0.035531	0.056001	0.276501	 0.01115	-0.12876	 0.01163	    9.83	   12.41	   63.22	    3.46	   -4.13	    3.61	  409.32	 1010.58	   20.61	   1.198	   959.2	   40.01	3.384E+5	   0.116
       7	  -0.000	  -4.000	  0.2772	0.038874	-0.03689	-0.05274	0.036207	  0.2772	-0.039515	 0.00160	-0.12204	 0.00882	0.036206	0.039515	0.277211	 0.00803	-0.12793	 0.00882	    9.97	    8.75	   63.33	    2.49	   -4.10	    2.73	  409.03	 1010.55	   20.63	   1.198	   958.5	   40.00	3.383E+5	   0.116
       8	  -0.000	  -3.000	  0.2764	0.038159	-0.02303	-0.05441	0.036903	  0.2764	-0.024993	 0.00123	-0.12352	 0.00626	0.036902	0.024993	0.276414	 0.00529	-0.12952	 0.00626	   10.13	    5.53	   63.16	    1.64	   -4.16	    1.94	  409.07	 1010.56	   20.67	   1.198	   958.6	   40.00	3.382E+5	   0.116
       9	  -0.000	  -2.000	  0.2749	0.037713	-0.01025	-0.05637	0.037334	  0.2749	-0.011560	 0.00085	-0.12510	 0.00392	0.037333	0.011560	0.274928	 0.00273	-0.13118	 0.00392	   10.22	    2.56	   62.83	    0.85	   -4.22	    1.22	  409.07	 1010.57	   20.70	   1.198	   958.6	   40.00	3.382E+5	   0.116
      10	  -0.000	  -1.000	  0.2743	0.037031	 0.00287	-0.05574	0.037076	  0.2743	0.002227	 0.00067	-0.12431	 0.00174	0.037075	-0.002227	0.274302	 0.00031	-0.13035	 0.00174	   10.17	   -0.49	   62.69	    0.10	   -4.19	    0.54	  409.06	 1010.55	   20.72	   1.198	   958.5	   40.00	3.381E+5	   0.116
