   Runnr	   Alpha	      Cn	      Ct	      Cm	      Cd	      Cl	Cl-press	Cd-press	  Z-w.r.	    Flap	      Re	       M	       Q	       V	     Dpb	   P-bar	       T	  Cpt_01	  Cpt_02	  Cpt_03	  Cpt_04	  Cpt_05	  Cpt_06	  Cpt_07	  Cpt_08	  Cpt_09	  Cpt_10	  Cpt_11	  Cpt_12	  Cpt_13	  Cpt_14	  Cpt_15	  Cpt_16	  Cpt_17	  Cpt_18	  Cpt_19	  Cpt_20	  Cpt_21	  Cpt_22	  Cpt_23	  Cpt_24	  Cpt_25	  Cpt_26	  Cpt_27	  Cpt_28	  Cpt_29	  Cpt_30	  Cpt_31	  Cpt_32	  Cpt_33	  Cpt_34	  Cpt_35	  Cpt_36	  Cpt_37	  Cpt_38	  Cpt_39	  Cpt_40	  Cpt_41	  Cpt_42	  Cpt_43	  Cpt_44	  Cpt_45	  Cpt_46	  Cpt_47	  Cpt_48	  Cpt_49	  Cpt_50	  Cps_01	  Cps_02	  Cps_03	  Cps_04	  Cps_05	  Cps_06	  Cps_07	  Cps_08	  Cps_09	  Cps_10	  Cps_11	  Cps_12	  Cps_13	  Cps_14
       /	 degrees	       /	       /	       /	       /	       /	       /	       /	      mm	 degrees	       /	       /	      Pa	     m/s	      Pa	      Pa	  degr_C	    0.00	   12.00	   24.00	   36.00	   42.00	   48.00	   54.00	   60.00	   66.00	   72.00	   75.00	   78.00	   81.00	   84.00	   87.00	   90.00	   93.00	   96.00	   99.00	  102.00	  105.00	  108.00	  111.00	  114.00	  117.00	  120.00	  123.00	  126.00	  129.00	  132.00	  135.00	  138.00	  141.00	  144.00	  147.00	  150.00	  153.00	  156.00	  159.00	  162.00	  165.00	  168.00	  171.00	  174.00	  177.00	  183.00	  189.00	  195.00	  207.00	  219.00	    0.00	   51.00	   63.00	   75.00	   87.00	   99.00	  111.00	  123.00	  135.00	  147.00	  159.00	  171.00	  183.00	  219.00
       1	  10.000	     NaN	     NaN	     NaN	0.300000	     NaN	     NaN	     NaN	    0.00	   0.000	4.327E+5	   0.116	  954.20	   39.99	   407.2	 1008.56	   21.33	-0.07182	-0.07135	-0.07177	-0.07139	-0.07204	-0.07107	-0.07179	-0.07144	-0.07098	-0.07330	-0.07128	-0.07148	-0.07123	-0.07134	-0.07225	-0.07145	-0.07223	-0.07247	-0.06977	-0.07236	-0.07131	-0.07121	-0.07188	-0.07098	-0.07098	-0.07203	-0.07065	-0.07132	-0.07152	-0.07171	-0.07096	-0.07157	-0.07117	-0.07121	-0.07102	-0.07114	-0.07099	-0.07131	-0.07119	-0.07107	-0.07138	-0.07138	-0.07146	-0.07237	-0.07125	-0.07144	-0.07125	-0.07152	-0.07133	-0.07116	-0.07132	-0.07127	-0.07126	-0.07111	-0.07116	-0.07100	-0.07112	-0.07112	-0.07085	-0.07145	-0.07130	-0.07121	-0.07106	-0.07062	Wake too large! -> Pt pitot is used for pt0; Wake not in center of rake!; cpt_wake < 0; 
       2	  10.000	     NaN	     NaN	     NaN	0.300000	     NaN	     NaN	     NaN	    0.00	   0.000	4.325E+5	   0.116	  954.24	   40.00	   407.2	 1008.54	   21.39	-0.07041	-0.06995	-0.07034	-0.06996	-0.07067	-0.06970	-0.07040	-0.07005	-0.06957	-0.07190	-0.06989	-0.07010	-0.06980	-0.06995	-0.07087	-0.07003	-0.07084	-0.07105	-0.06835	-0.07093	-0.06991	-0.06985	-0.07048	-0.06959	-0.06957	-0.07061	-0.06929	-0.06993	-0.07009	-0.07028	-0.06956	-0.07016	-0.06974	-0.06980	-0.06960	-0.06975	-0.06958	-0.06988	-0.06979	-0.06968	-0.06996	-0.06994	-0.07002	-0.07096	-0.06982	-0.07007	-0.06982	-0.07007	-0.06990	-0.06969	-0.06984	-0.06984	-0.06984	-0.06968	-0.06973	-0.06955	-0.06972	-0.06971	-0.06942	-0.07000	-0.06989	-0.06978	-0.06966	-0.06929	Wake too large! -> Pt pitot is used for pt0; Wake not in center of rake!; cpt_wake < 0; 
       3	  10.000	     NaN	     NaN	     NaN	0.300000	     NaN	     NaN	     NaN	    0.00	   0.000	4.324E+5	   0.116	  954.01	   40.00	   407.1	 1008.53	   21.44	-0.06874	-0.06826	-0.06869	-0.06830	-0.06894	-0.06800	-0.06872	-0.06835	-0.06791	-0.07024	-0.06818	-0.06837	-0.06811	-0.06826	-0.06915	-0.06833	-0.06915	-0.06936	-0.06669	-0.06926	-0.06820	-0.06815	-0.06879	-0.06792	-0.06788	-0.06893	-0.06761	-0.06823	-0.06840	-0.06859	-0.06787	-0.06846	-0.06808	-0.06814	-0.06794	-0.06806	-0.06792	-0.06824	-0.06813	-0.06803	-0.06830	-0.06827	-0.06839	-0.06931	-0.06819	-0.06839	-0.06813	-0.06840	-0.06824	-0.06805	-0.06811	-0.06815	-0.06816	-0.06804	-0.06808	-0.06789	-0.06805	-0.06804	-0.06772	-0.06830	-0.06822	-0.06810	-0.06799	-0.06767	Wake too large! -> Pt pitot is used for pt0; Wake not in center of rake!; cpt_wake < 0; 
       4	  10.000	     NaN	     NaN	     NaN	0.300000	     NaN	     NaN	     NaN	    0.00	   0.000	4.324E+5	   0.116	  954.09	   40.00	   407.2	 1008.54	   21.46	-0.06893	-0.06849	-0.06890	-0.06850	-0.06922	-0.06818	-0.06895	-0.06856	-0.06813	-0.07048	-0.06843	-0.06858	-0.06834	-0.06846	-0.06936	-0.06857	-0.06939	-0.06961	-0.06691	-0.06947	-0.06845	-0.06837	-0.06899	-0.06812	-0.06809	-0.06917	-0.06781	-0.06844	-0.06863	-0.06881	-0.06808	-0.06866	-0.06827	-0.06832	-0.06815	-0.06829	-0.06815	-0.06842	-0.06833	-0.06823	-0.06846	-0.06846	-0.06859	-0.06951	-0.06840	-0.06860	-0.06832	-0.06862	-0.06845	-0.06825	-0.06834	-0.06838	-0.06839	-0.06823	-0.06828	-0.06809	-0.06824	-0.06822	-0.06795	-0.06852	-0.06842	-0.06830	-0.06818	-0.06783	Wake too large! -> Pt pitot is used for pt0; Wake not in center of rake!; cpt_wake < 0; 
       5	  10.000	     NaN	     NaN	     NaN	0.300000	     NaN	     NaN	     NaN	    0.00	   0.000	4.324E+5	   0.116	  954.24	   40.01	   407.2	 1008.51	   21.48	-0.06741	-0.06692	-0.06737	-0.06697	-0.06768	-0.06666	-0.06739	-0.06701	-0.06658	-0.06893	-0.06686	-0.06706	-0.06679	-0.06693	-0.06783	-0.06702	-0.06783	-0.06803	-0.06532	-0.06794	-0.06687	-0.06682	-0.06744	-0.06658	-0.06655	-0.06760	-0.06624	-0.06690	-0.06709	-0.06728	-0.06653	-0.06709	-0.06672	-0.06679	-0.06658	-0.06674	-0.06657	-0.06684	-0.06675	-0.06665	-0.06692	-0.06691	-0.06701	-0.06793	-0.06681	-0.06706	-0.06676	-0.06705	-0.06687	-0.06669	-0.06692	-0.06682	-0.06680	-0.06667	-0.06674	-0.06652	-0.06672	-0.06666	-0.06638	-0.06698	-0.06685	-0.06673	-0.06660	-0.06619	Wake too large! -> Pt pitot is used for pt0; Wake not in center of rake!; cpt_wake < 0; 
       6	  10.000	     NaN	     NaN	     NaN	0.300000	     NaN	     NaN	     NaN	    0.00	   0.000	4.323E+5	   0.116	  954.05	   40.00	   407.2	 1008.50	   21.51	-0.06676	-0.06630	-0.06670	-0.06634	-0.06701	-0.06600	-0.06676	-0.06636	-0.06596	-0.06830	-0.06622	-0.06635	-0.06614	-0.06628	-0.06719	-0.06637	-0.06717	-0.06742	-0.06469	-0.06729	-0.06623	-0.06619	-0.06681	-0.06594	-0.06594	-0.06697	-0.06559	-0.06627	-0.06644	-0.06663	-0.06590	-0.06651	-0.06608	-0.06613	-0.06597	-0.06608	-0.06594	-0.06620	-0.06611	-0.06604	-0.06629	-0.06626	-0.06637	-0.06729	-0.06618	-0.06640	-0.06614	-0.06641	-0.06623	-0.06602	-0.06630	-0.06618	-0.06615	-0.06604	-0.06606	-0.06587	-0.06603	-0.06600	-0.06570	-0.06631	-0.06622	-0.06610	-0.06597	-0.06558	Wake too large! -> Pt pitot is used for pt0; Wake not in center of rake!; cpt_wake < 0; 
       7	  10.000	     NaN	     NaN	     NaN	0.300000	     NaN	     NaN	     NaN	    0.00	   0.000	4.322E+5	   0.116	  953.88	   40.00	   407.1	 1008.52	   21.52	-0.06453	-0.06405	-0.06449	-0.06409	-0.06476	-0.06378	-0.06450	-0.06414	-0.06369	-0.06603	-0.06399	-0.06408	-0.06389	-0.06405	-0.06495	-0.06412	-0.06494	-0.06515	-0.06240	-0.06507	-0.06399	-0.06393	-0.06458	-0.06365	-0.06365	-0.06473	-0.06335	-0.06399	-0.06419	-0.06439	-0.06364	-0.06424	-0.06383	-0.06390	-0.06368	-0.06384	-0.06368	-0.06397	-0.06387	-0.06378	-0.06404	-0.06403	-0.06414	-0.06505	-0.06392	-0.06417	-0.06390	-0.06422	-0.06403	-0.06380	-0.06388	-0.06392	-0.06393	-0.06378	-0.06382	-0.06364	-0.06380	-0.06378	-0.06349	-0.06410	-0.06399	-0.06389	-0.06376	-0.06339	Wake too large! -> Pt pitot is used for pt0; Wake not in center of rake!; cpt_wake < 0; 
       8	  10.000	     NaN	     NaN	     NaN	0.300000	     NaN	     NaN	     NaN	    0.00	   0.000	4.321E+5	   0.116	  953.84	   40.00	   407.1	 1008.49	   21.56	-0.06459	-0.06413	-0.06460	-0.06416	-0.06487	-0.06388	-0.06461	-0.06423	-0.06378	-0.06614	-0.06406	-0.06425	-0.06400	-0.06412	-0.06505	-0.06422	-0.06503	-0.06527	-0.06247	-0.06515	-0.06409	-0.06401	-0.06468	-0.06378	-0.06375	-0.06483	-0.06343	-0.06411	-0.06429	-0.06449	-0.06373	-0.06433	-0.06392	-0.06400	-0.06380	-0.06393	-0.06374	-0.06407	-0.06396	-0.06385	-0.06414	-0.06409	-0.06422	-0.06515	-0.06400	-0.06424	-0.06400	-0.06427	-0.06408	-0.06388	-0.06389	-0.06399	-0.06402	-0.06388	-0.06390	-0.06370	-0.06387	-0.06387	-0.06357	-0.06418	-0.06407	-0.06394	-0.06382	-0.06344	Wake too large! -> Pt pitot is used for pt0; Wake not in center of rake!; cpt_wake < 0; 
       9	  10.000	     NaN	     NaN	     NaN	0.300000	     NaN	     NaN	     NaN	    0.00	   0.000	4.320E+5	   0.116	  953.61	   40.00	   407.0	 1008.48	   21.60	-0.06426	-0.06378	-0.06424	-0.06386	-0.06452	-0.06348	-0.06427	-0.06387	-0.06340	-0.06586	-0.06372	-0.06397	-0.06366	-0.06376	-0.06472	-0.06388	-0.06473	-0.06494	-0.06211	-0.06482	-0.06373	-0.06366	-0.06435	-0.06343	-0.06337	-0.06448	-0.06308	-0.06375	-0.06392	-0.06416	-0.06340	-0.06400	-0.06357	-0.06361	-0.06345	-0.06359	-0.06342	-0.06372	-0.06362	-0.06348	-0.06380	-0.06377	-0.06388	-0.06483	-0.06370	-0.06393	-0.06362	-0.06395	-0.06374	-0.06354	-0.06378	-0.06369	-0.06367	-0.06352	-0.06358	-0.06340	-0.06354	-0.06352	-0.06323	-0.06383	-0.06373	-0.06361	-0.06350	-0.06315	Wake too large! -> Pt pitot is used for pt0; Wake not in center of rake!; cpt_wake < 0; 
      10	  10.000	     NaN	     NaN	     NaN	0.300000	     NaN	     NaN	     NaN	    0.00	   0.000	4.320E+5	   0.116	  953.80	   40.01	   407.0	 1008.49	   21.60	-0.06383	-0.06334	-0.06381	-0.06339	-0.06413	-0.06304	-0.06380	-0.06342	-0.06297	-0.06544	-0.06328	-0.06352	-0.06325	-0.06333	-0.06431	-0.06343	-0.06428	-0.06452	-0.06166	-0.06440	-0.06329	-0.06323	-0.06392	-0.06297	-0.06293	-0.06404	-0.06265	-0.06330	-0.06351	-0.06371	-0.06294	-0.06357	-0.06313	-0.06320	-0.06300	-0.06313	-0.06296	-0.06328	-0.06318	-0.06307	-0.06335	-0.06333	-0.06344	-0.06440	-0.06323	-0.06347	-0.06320	-0.06353	-0.06332	-0.06310	-0.06334	-0.06324	-0.06322	-0.06306	-0.06312	-0.06296	-0.06307	-0.06307	-0.06277	-0.06341	-0.06329	-0.06315	-0.06303	-0.06267	Wake too large! -> Pt pitot is used for pt0; Wake not in center of rake!; cpt_wake < 0; 
      11	  10.000	     NaN	     NaN	     NaN	0.300000	     NaN	     NaN	     NaN	    0.00	   0.000	4.320E+5	   0.116	  953.69	   40.00	   407.0	 1008.47	   21.61	-0.06421	-0.06375	-0.06422	-0.06379	-0.06450	-0.06346	-0.06421	-0.06384	-0.06336	-0.06587	-0.06367	-0.06394	-0.06359	-0.06373	-0.06470	-0.06384	-0.06467	-0.06494	-0.06206	-0.06478	-0.06370	-0.06362	-0.06432	-0.06337	-0.06335	-0.06445	-0.06301	-0.06372	-0.06389	-0.06406	-0.06331	-0.06397	-0.06351	-0.06359	-0.06340	-0.06354	-0.06336	-0.06370	-0.06357	-0.06345	-0.06373	-0.06373	-0.06383	-0.06480	-0.06366	-0.06386	-0.06357	-0.06389	-0.06372	-0.06350	-0.06378	-0.06364	-0.06360	-0.06347	-0.06352	-0.06330	-0.06347	-0.06348	-0.06316	-0.06380	-0.06368	-0.06356	-0.06343	-0.06302	Wake too large! -> Pt pitot is used for pt0; Wake not in center of rake!; cpt_wake < 0; 
