   Runnr	   Alpha	      Cn	      Ct	      Cm	      Cd	      Cl	Cl-press	Cd-press	  Z-w.r.	    Flap	      Re	       M	       Q	       V	     Dpb	   P-bar	       T	  Cpt_01	  Cpt_02	  Cpt_03	  Cpt_04	  Cpt_05	  Cpt_06	  Cpt_07	  Cpt_08	  Cpt_09	  Cpt_10	  Cpt_11	  Cpt_12	  Cpt_13	  Cpt_14	  Cpt_15	  Cpt_16	  Cpt_17	  Cpt_18	  Cpt_19	  Cpt_20	  Cpt_21	  Cpt_22	  Cpt_23	  Cpt_24	  Cpt_25	  Cpt_26	  Cpt_27	  Cpt_28	  Cpt_29	  Cpt_30	  Cpt_31	  Cpt_32	  Cpt_33	  Cpt_34	  Cpt_35	  Cpt_36	  Cpt_37	  Cpt_38	  Cpt_39	  Cpt_40	  Cpt_41	  Cpt_42	  Cpt_43	  Cpt_44	  Cpt_45	  Cpt_46	  Cpt_47	  Cpt_48	  Cpt_49	  Cpt_50	  Cps_01	  Cps_02	  Cps_03	  Cps_04	  Cps_05	  Cps_06	  Cps_07	  Cps_08	  Cps_09	  Cps_10	  Cps_11	  Cps_12	  Cps_13	  Cps_14
       /	 degrees	       /	       /	       /	       /	       /	       /	       /	      mm	 degrees	       /	       /	      Pa	     m/s	      Pa	      Pa	  degr_C	    0.00	   12.00	   24.00	   36.00	   42.00	   48.00	   54.00	   60.00	   66.00	   72.00	   75.00	   78.00	   81.00	   84.00	   87.00	   90.00	   93.00	   96.00	   99.00	  102.00	  105.00	  108.00	  111.00	  114.00	  117.00	  120.00	  123.00	  126.00	  129.00	  132.00	  135.00	  138.00	  141.00	  144.00	  147.00	  150.00	  153.00	  156.00	  159.00	  162.00	  165.00	  168.00	  171.00	  174.00	  177.00	  183.00	  189.00	  195.00	  207.00	  219.00	    0.00	   51.00	   63.00	   75.00	   87.00	   99.00	  111.00	  123.00	  135.00	  147.00	  159.00	  171.00	  183.00	  219.00
       1	   4.995	     NaN	     NaN	     NaN	0.300000	     NaN	     NaN	     NaN	    0.00	   0.000	4.339E+5	   0.116	  956.26	   40.01	   408.1	 1008.78	   20.93	-0.06733	-0.06708	-0.06729	-0.06705	-0.06740	-0.06687	-0.06733	-0.06710	-0.06694	-0.06826	-0.06708	-0.06716	-0.06697	-0.06710	-0.06763	-0.06712	-0.06758	-0.06768	-0.06609	-0.06757	-0.06710	-0.06694	-0.06727	-0.06683	-0.06681	-0.06735	-0.06658	-0.06704	-0.06708	-0.06741	-0.06686	-0.06715	-0.06688	-0.06692	-0.06681	-0.06688	-0.06675	-0.06693	-0.06692	-0.06694	-0.06716	-0.06709	-0.06721	-0.06771	-0.06697	-0.06709	-0.06698	-0.06704	-0.06696	-0.06695	-0.06752	-0.06705	-0.06694	-0.06690	-0.06693	-0.06676	-0.06701	-0.06689	-0.06665	-0.06727	-0.06702	-0.06695	-0.06676	-0.06620	Wake too large! -> Pt pitot is used for pt0; Wake not in center of rake!; cpt_wake < 0; 
       2	   4.995	     NaN	     NaN	     NaN	0.300000	     NaN	     NaN	     NaN	    0.00	   0.000	4.336E+5	   0.116	  955.41	   39.99	   407.7	 1008.79	   21.00	-0.06812	-0.06786	-0.06805	-0.06779	-0.06818	-0.06760	-0.06810	-0.06789	-0.06767	-0.06904	-0.06780	-0.06786	-0.06773	-0.06786	-0.06835	-0.06788	-0.06827	-0.06848	-0.06686	-0.06838	-0.06786	-0.06767	-0.06810	-0.06764	-0.06761	-0.06808	-0.06732	-0.06781	-0.06786	-0.06816	-0.06763	-0.06788	-0.06769	-0.06770	-0.06755	-0.06766	-0.06748	-0.06764	-0.06772	-0.06770	-0.06790	-0.06781	-0.06794	-0.06847	-0.06767	-0.06789	-0.06778	-0.06781	-0.06773	-0.06769	-0.06816	-0.06779	-0.06771	-0.06761	-0.06769	-0.06754	-0.06774	-0.06763	-0.06743	-0.06795	-0.06782	-0.06771	-0.06751	-0.06690	Wake too large! -> Pt pitot is used for pt0; Wake not in center of rake!; cpt_wake < 0; 
       3	   4.995	     NaN	     NaN	     NaN	0.300000	     NaN	     NaN	     NaN	    0.00	   0.000	4.336E+5	   0.116	  956.00	   40.01	   408.0	 1008.77	   21.05	-0.06748	-0.06716	-0.06739	-0.06721	-0.06756	-0.06696	-0.06741	-0.06719	-0.06704	-0.06842	-0.06719	-0.06725	-0.06706	-0.06723	-0.06773	-0.06726	-0.06768	-0.06783	-0.06616	-0.06773	-0.06720	-0.06710	-0.06748	-0.06692	-0.06696	-0.06747	-0.06672	-0.06724	-0.06717	-0.06754	-0.06695	-0.06722	-0.06702	-0.06704	-0.06696	-0.06701	-0.06690	-0.06710	-0.06708	-0.06701	-0.06726	-0.06718	-0.06735	-0.06784	-0.06709	-0.06728	-0.06709	-0.06716	-0.06709	-0.06704	-0.06728	-0.06716	-0.06713	-0.06700	-0.06703	-0.06686	-0.06710	-0.06698	-0.06680	-0.06731	-0.06715	-0.06709	-0.06688	-0.06626	Wake too large! -> Pt pitot is used for pt0; Wake not in center of rake!; cpt_wake < 0; 
       4	   4.995	     NaN	     NaN	     NaN	0.300000	     NaN	     NaN	     NaN	    0.00	   0.000	4.334E+5	   0.116	  955.08	   39.99	   407.6	 1008.81	   21.08	-0.06673	-0.06649	-0.06666	-0.06643	-0.06683	-0.06620	-0.06667	-0.06646	-0.06627	-0.06767	-0.06646	-0.06652	-0.06637	-0.06643	-0.06703	-0.06653	-0.06700	-0.06711	-0.06545	-0.06701	-0.06651	-0.06635	-0.06673	-0.06621	-0.06619	-0.06674	-0.06597	-0.06643	-0.06646	-0.06674	-0.06622	-0.06651	-0.06631	-0.06629	-0.06620	-0.06631	-0.06616	-0.06635	-0.06631	-0.06629	-0.06653	-0.06650	-0.06661	-0.06705	-0.06633	-0.06652	-0.06632	-0.06644	-0.06636	-0.06632	-0.06692	-0.06648	-0.06637	-0.06628	-0.06627	-0.06613	-0.06636	-0.06624	-0.06599	-0.06656	-0.06641	-0.06634	-0.06613	-0.06552	Wake too large! -> Pt pitot is used for pt0; Wake not in center of rake!; cpt_wake < 0; 
       5	   4.995	     NaN	     NaN	     NaN	0.300000	     NaN	     NaN	     NaN	    0.00	   0.000	4.334E+5	   0.116	  955.60	   40.00	   407.8	 1008.80	   21.11	-0.06382	-0.06356	-0.06379	-0.06354	-0.06392	-0.06330	-0.06378	-0.06356	-0.06343	-0.06483	-0.06357	-0.06365	-0.06345	-0.06355	-0.06412	-0.06363	-0.06403	-0.06423	-0.06252	-0.06406	-0.06357	-0.06341	-0.06383	-0.06332	-0.06332	-0.06381	-0.06308	-0.06355	-0.06356	-0.06389	-0.06332	-0.06358	-0.06340	-0.06339	-0.06330	-0.06341	-0.06323	-0.06341	-0.06344	-0.06339	-0.06360	-0.06353	-0.06370	-0.06421	-0.06346	-0.06367	-0.06348	-0.06351	-0.06350	-0.06341	-0.06375	-0.06353	-0.06348	-0.06340	-0.06338	-0.06326	-0.06349	-0.06338	-0.06314	-0.06367	-0.06354	-0.06347	-0.06328	-0.06271	Wake too large! -> Pt pitot is used for pt0; Wake not in center of rake!; cpt_wake < 0; 
       6	   4.995	     NaN	     NaN	     NaN	0.300000	     NaN	     NaN	     NaN	    0.00	   0.000	4.334E+5	   0.116	  955.61	   40.01	   407.8	 1008.78	   21.14	-0.06278	-0.06250	-0.06273	-0.06255	-0.06293	-0.06224	-0.06274	-0.06251	-0.06236	-0.06380	-0.06252	-0.06259	-0.06244	-0.06248	-0.06306	-0.06259	-0.06304	-0.06317	-0.06153	-0.06302	-0.06256	-0.06240	-0.06279	-0.06228	-0.06227	-0.06281	-0.06203	-0.06252	-0.06251	-0.06284	-0.06228	-0.06259	-0.06235	-0.06238	-0.06226	-0.06237	-0.06220	-0.06240	-0.06239	-0.06237	-0.06259	-0.06251	-0.06261	-0.06313	-0.06243	-0.06261	-0.06241	-0.06254	-0.06243	-0.06238	-0.06282	-0.06251	-0.06244	-0.06235	-0.06235	-0.06225	-0.06243	-0.06234	-0.06212	-0.06264	-0.06250	-0.06242	-0.06222	-0.06162	Wake too large! -> Pt pitot is used for pt0; Wake not in center of rake!; cpt_wake < 0; 
       7	   4.995	     NaN	     NaN	     NaN	0.300000	     NaN	     NaN	     NaN	    0.00	   0.000	4.334E+5	   0.116	  955.65	   40.01	   407.8	 1008.76	   21.14	-0.06049	-0.06015	-0.06041	-0.06014	-0.06053	-0.05992	-0.06046	-0.06018	-0.06003	-0.06143	-0.06017	-0.06023	-0.06005	-0.06015	-0.06074	-0.06018	-0.06068	-0.06082	-0.05913	-0.06071	-0.06020	-0.06004	-0.06042	-0.05994	-0.05996	-0.06048	-0.05969	-0.06017	-0.06016	-0.06050	-0.05988	-0.06020	-0.06002	-0.06000	-0.05992	-0.06000	-0.05983	-0.06004	-0.05998	-0.05995	-0.06023	-0.06016	-0.06028	-0.06076	-0.06001	-0.06025	-0.06007	-0.06015	-0.06008	-0.06000	-0.06074	-0.06018	-0.06005	-0.05999	-0.06003	-0.05988	-0.06008	-0.05999	-0.05974	-0.06025	-0.06016	-0.06004	-0.05985	-0.05928	Wake too large! -> Pt pitot is used for pt0; Wake not in center of rake!; cpt_wake < 0; 
       8	   4.995	     NaN	     NaN	     NaN	0.300000	     NaN	     NaN	     NaN	    0.00	   0.000	4.332E+5	   0.116	  955.22	   40.00	   407.6	 1008.78	   21.20	-0.06075	-0.06043	-0.06066	-0.06041	-0.06084	-0.06023	-0.06071	-0.06042	-0.06032	-0.06174	-0.06049	-0.06050	-0.06035	-0.06044	-0.06104	-0.06048	-0.06096	-0.06111	-0.05949	-0.06099	-0.06050	-0.06028	-0.06073	-0.06022	-0.06020	-0.06075	-0.05993	-0.06044	-0.06047	-0.06076	-0.06017	-0.06052	-0.06030	-0.06030	-0.06017	-0.06029	-0.06010	-0.06035	-0.06034	-0.06032	-0.06049	-0.06046	-0.06053	-0.06109	-0.06033	-0.06048	-0.06034	-0.06046	-0.06035	-0.06029	-0.06081	-0.06045	-0.06036	-0.06030	-0.06032	-0.06018	-0.06040	-0.06029	-0.06007	-0.06057	-0.06044	-0.06039	-0.06017	-0.05952	Wake too large! -> Pt pitot is used for pt0; Wake not in center of rake!; cpt_wake < 0; 
       9	   4.995	     NaN	     NaN	     NaN	0.300000	     NaN	     NaN	     NaN	    0.00	   0.000	4.332E+5	   0.116	  955.40	   40.01	   407.7	 1008.79	   21.21	-0.06018	-0.05983	-0.06007	-0.05984	-0.06026	-0.05963	-0.06011	-0.05984	-0.05971	-0.06112	-0.05984	-0.05995	-0.05977	-0.05992	-0.06047	-0.05989	-0.06038	-0.06051	-0.05886	-0.06044	-0.05989	-0.05970	-0.06015	-0.05962	-0.05967	-0.06014	-0.05939	-0.05988	-0.05987	-0.06025	-0.05966	-0.05989	-0.05973	-0.05970	-0.05960	-0.05973	-0.05955	-0.05973	-0.05972	-0.05973	-0.05996	-0.05990	-0.06000	-0.06053	-0.05978	-0.05998	-0.05974	-0.05988	-0.05981	-0.05975	-0.06024	-0.05989	-0.05980	-0.05968	-0.05973	-0.05960	-0.05980	-0.05971	-0.05949	-0.05998	-0.05990	-0.05978	-0.05958	-0.05898	Wake too large! -> Pt pitot is used for pt0; Wake not in center of rake!; cpt_wake < 0; 
