  Run_nr	   Alpha	    Beta	      CL	      CD	    Cyaw	 Cm_p_qc	      Ct	      Cn	   Cside	 Cm_roll	Cm_pitch	  Cm_yaw	      Cx	      Cy	      Cz	    Cm_x	    Cm_y	    Cm_z	      Fx	      Fy	      Fz	      Mx	      My	      Mz	     DPb	    Pbar	       T	     Rho	       Q	       V	      Re	       M
       /	 degrees	 degrees	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /	       N	       N	       N	      Nm	      Nm	      Nm	      Pa	      Pa	 degr. C	  kg/m^3	      Pa	     m/s	       /	       /
       1	   4.995	 -10.000	  0.7078	0.069346	-0.06682	 0.10117	-0.005155	  0.7101	-0.077851	-0.00017	-0.07634	 0.00515	0.056689	0.077851	0.707803	 0.01295	-0.08556	 0.00518	   14.17	   17.20	  159.08	    4.00	   -2.72	    1.60	  408.10	 1008.79	   20.94	   1.195	   956.3	   40.01	3.371E+5	   0.116
       2	   4.995	  -9.000	  0.7040	0.060188	-0.10241	 0.13114	-0.018040	  0.7052	-0.110569	 0.00297	-0.04515	 0.01800	0.043426	0.110569	0.704044	 0.02253	-0.05221	 0.01780	   11.23	   24.40	  158.11	    6.96	   -1.51	    5.50	  407.74	 1008.79	   21.00	   1.195	   955.4	   39.99	3.369E+5	   0.116
       3	   4.995	  -8.000	  0.6980	0.057919	-0.09015	 0.13328	-0.016137	  0.6993	-0.097338	 0.00293	-0.04153	 0.01663	0.044808	0.097338	0.698005	 0.02021	-0.04882	 0.01644	   11.54	   21.49	  156.85	    6.25	   -1.38	    5.08	  407.92	 1008.77	   21.05	   1.195	   955.9	   40.01	3.369E+5	   0.116
       4	   4.995	  -7.000	  0.6966	0.056478	-0.07646	 0.13100	-0.014096	  0.6981	-0.082775	 0.00286	-0.04352	 0.01466	0.046738	0.082775	0.696649	 0.01760	-0.05112	 0.01446	   11.96	   18.26	  156.43	    5.44	   -1.47	    4.47	  407.63	 1008.81	   21.08	   1.194	   955.2	   39.99	3.367E+5	   0.116
       5	   4.995	  -6.000	  0.6926	0.055404	-0.06122	 0.12784	-0.011786	  0.6942	-0.066678	 0.00251	-0.04571	 0.01213	0.048701	0.066678	0.692576	 0.01441	-0.05363	 0.01196	   12.40	   14.72	  155.59	    4.45	   -1.56	    3.69	  407.77	 1008.79	   21.11	   1.194	   955.5	   40.00	3.367E+5	   0.116
       6	   4.995	  -5.000	  0.6908	0.054159	-0.04636	 0.12862	-0.010422	  0.6925	-0.050907	 0.00237	-0.04451	 0.00971	0.049913	0.050907	0.690773	 0.01150	-0.05263	 0.00954	   12.67	   11.24	  155.19	    3.55	   -1.52	    2.95	  407.77	 1008.78	   21.14	   1.194	   955.5	   40.00	3.367E+5	   0.116
       7	   4.995	  -4.000	  0.6912	0.052887	-0.03343	 0.13091	-0.009945	  0.6929	-0.037035	 0.00174	-0.04233	 0.00713	0.050427	0.037035	0.691174	 0.00838	-0.05053	 0.00700	   12.78	    8.18	  155.30	    2.59	   -1.45	    2.16	  407.82	 1008.76	   21.14	   1.194	   955.6	   40.01	3.367E+5	   0.116
       8	   4.995	  -3.000	  0.6908	0.052304	-0.02024	 0.12983	-0.009165	  0.6926	-0.022951	 0.00112	-0.04332	 0.00479	0.051173	0.022951	0.690752	 0.00527	-0.05164	 0.00471	   12.94	    5.06	  155.16	    1.63	   -1.49	    1.46	  407.69	 1008.78	   21.20	   1.194	   955.3	   40.00	3.366E+5	   0.116
       9	   4.995	  -2.000	  0.6895	0.052158	-0.00863	 0.12856	-0.008403	  0.6914	-0.010442	 0.00083	-0.04428	 0.00294	0.051825	0.010442	0.689461	 0.00278	-0.05271	 0.00288	   13.09	    2.30	  154.88	    0.86	   -1.52	    0.89	  407.70	 1008.79	   21.21	   1.194	   955.3	   40.00	3.366E+5	   0.116
      10	   4.995	  -1.000	  0.6882	0.051899	 0.00078	 0.12961	-0.008214	  0.6901	-0.000125	 0.00047	-0.04291	 0.00116	0.051905	0.000125	0.688208	 0.00059	-0.05136	 0.00112	   13.12	    0.03	  154.77	    0.18	   -1.48	    0.35	  408.14	 1008.77	   21.24	   1.194	   956.4	   40.03	3.367E+5	   0.116
      11	   4.995	   0.000	  0.6872	0.051850	 0.00769	 0.12978	-0.008180	  0.6891	0.007694	 0.00000	-0.04249	-0.00080	0.051850	-0.007694	0.687188	-0.00132	-0.05093	-0.00080	   13.08	   -1.70	  154.26	   -0.41	   -1.46	   -0.25	  407.40	 1008.80	   21.24	   1.194	   954.6	   39.99	3.364E+5	   0.116
      12	   4.995	   1.000	  0.6871	0.050946	 0.01389	 0.13060	-0.009325	  0.6889	0.014779	-0.00041	-0.04164	-0.00280	0.050696	-0.014779	0.687134	-0.00306	-0.04989	-0.00277	   12.83	   -3.26	  154.24	   -0.94	   -1.42	   -0.86	  407.39	 1008.75	   21.24	   1.194	   954.6	   39.99	3.364E+5	   0.116
      13	   4.995	   1.995	  0.6893	0.051303	 0.01666	 0.13103	-0.009518	  0.6911	0.018436	-0.00114	-0.04175	-0.00510	0.050692	-0.018436	0.689306	-0.00458	-0.05000	-0.00502	   12.83	   -4.07	  154.74	   -1.41	   -1.43	   -1.55	  407.45	 1008.77	   21.26	   1.194	   954.7	   40.00	3.364E+5	   0.116
      14	   4.995	   3.005	  0.6904	0.051777	 0.02726	 0.13165	-0.010024	  0.6921	0.029935	-0.00142	-0.04138	-0.00732	0.050277	-0.029935	0.690363	-0.00692	-0.04956	-0.00723	   12.74	   -6.60	  155.01	   -2.14	   -1.41	   -2.23	  407.54	 1008.73	   21.26	   1.194	   955.0	   40.00	3.364E+5	   0.116
