   Runnr	   Alpha	      Cn	      Ct	      Cm	      Cd	      Cl	Cl-press	Cd-press	  Z-w.r.	    Flap	      Re	       M	       Q	       V	     Dpb	   P-bar	       T	  Cpt_01	  Cpt_02	  Cpt_03	  Cpt_04	  Cpt_05	  Cpt_06	  Cpt_07	  Cpt_08	  Cpt_09	  Cpt_10	  Cpt_11	  Cpt_12	  Cpt_13	  Cpt_14	  Cpt_15	  Cpt_16	  Cpt_17	  Cpt_18	  Cpt_19	  Cpt_20	  Cpt_21	  Cpt_22	  Cpt_23	  Cpt_24	  Cpt_25	  Cpt_26	  Cpt_27	  Cpt_28	  Cpt_29	  Cpt_30	  Cpt_31	  Cpt_32	  Cpt_33	  Cpt_34	  Cpt_35	  Cpt_36	  Cpt_37	  Cpt_38	  Cpt_39	  Cpt_40	  Cpt_41	  Cpt_42	  Cpt_43	  Cpt_44	  Cpt_45	  Cpt_46	  Cpt_47	  Cpt_48	  Cpt_49	  Cpt_50	  Cps_01	  Cps_02	  Cps_03	  Cps_04	  Cps_05	  Cps_06	  Cps_07	  Cps_08	  Cps_09	  Cps_10	  Cps_11	  Cps_12	  Cps_13	  Cps_14
       /	 degrees	       /	       /	       /	       /	       /	       /	       /	      mm	 degrees	       /	       /	      Pa	     m/s	      Pa	      Pa	  degr_C	    0.00	   12.00	   24.00	   36.00	   42.00	   48.00	   54.00	   60.00	   66.00	   72.00	   75.00	   78.00	   81.00	   84.00	   87.00	   90.00	   93.00	   96.00	   99.00	  102.00	  105.00	  108.00	  111.00	  114.00	  117.00	  120.00	  123.00	  126.00	  129.00	  132.00	  135.00	  138.00	  141.00	  144.00	  147.00	  150.00	  153.00	  156.00	  159.00	  162.00	  165.00	  168.00	  171.00	  174.00	  177.00	  183.00	  189.00	  195.00	  207.00	  219.00	    0.00	   51.00	   63.00	   75.00	   87.00	   99.00	  111.00	  123.00	  135.00	  147.00	  159.00	  171.00	  183.00	  219.00
       1	  -5.000	     NaN	     NaN	     NaN	0.300000	     NaN	     NaN	     NaN	    0.00	   0.000	3.272E+5	   0.087	  541.93	   30.00	   232.0	 1011.48	   19.47	-0.06216	-0.06176	-0.06233	-0.06201	-0.06257	-0.06198	-0.06255	-0.06222	-0.06137	-0.06354	-0.06199	-0.06201	-0.06184	-0.06175	-0.06232	-0.06222	-0.06299	-0.06293	-0.06085	-0.06273	-0.06212	-0.06178	-0.06281	-0.06180	-0.06242	-0.06262	-0.06187	-0.06176	-0.06203	-0.06201	-0.06186	-0.06207	-0.06211	-0.06229	-0.06193	-0.06202	-0.06224	-0.06212	-0.06197	-0.06196	-0.06143	-0.06225	-0.06179	-0.06281	-0.06183	-0.06212	-0.06158	-0.06195	-0.06171	-0.06135	-0.06000	-0.06176	-0.06218	-0.06171	-0.06165	-0.06171	-0.06189	-0.06161	-0.06179	-0.06166	-0.06188	-0.06167	-0.06216	-0.06363	Wake too large! -> Pt pitot is used for pt0; Wake not in center of rake!; cpt_wake < 0; 
       2	  -4.002	     NaN	     NaN	     NaN	0.300000	     NaN	     NaN	     NaN	    0.00	   0.000	3.270E+5	   0.087	  541.54	   29.99	   231.8	 1011.51	   19.50	-0.06113	-0.06066	-0.06128	-0.06087	-0.06152	-0.06081	-0.06149	-0.06114	-0.06013	-0.06276	-0.06088	-0.06092	-0.06066	-0.06064	-0.06132	-0.06109	-0.06199	-0.06193	-0.05957	-0.06176	-0.06098	-0.06063	-0.06169	-0.06069	-0.06122	-0.06155	-0.06071	-0.06066	-0.06092	-0.06088	-0.06070	-0.06096	-0.06099	-0.06122	-0.06078	-0.06089	-0.06110	-0.06107	-0.06082	-0.06080	-0.06035	-0.06116	-0.06071	-0.06180	-0.06075	-0.06103	-0.06051	-0.06083	-0.06064	-0.06023	-0.05862	-0.06061	-0.06108	-0.06051	-0.06054	-0.06050	-0.06074	-0.06050	-0.06059	-0.06025	-0.06074	-0.06059	-0.06101	-0.06228	Wake too large! -> Pt pitot is used for pt0; Wake not in center of rake!; cpt_wake < 0; 
       3	  -2.998	     NaN	     NaN	     NaN	0.300000	     NaN	     NaN	     NaN	    0.00	   0.000	3.270E+5	   0.087	  541.65	   30.00	   231.9	 1011.51	   19.53	-0.06111	-0.06062	-0.06130	-0.06085	-0.06153	-0.06070	-0.06150	-0.06114	-0.06008	-0.06284	-0.06077	-0.06082	-0.06065	-0.06054	-0.06132	-0.06104	-0.06203	-0.06198	-0.05936	-0.06177	-0.06088	-0.06061	-0.06175	-0.06059	-0.06119	-0.06163	-0.06062	-0.06056	-0.06087	-0.06084	-0.06057	-0.06093	-0.06092	-0.06116	-0.06074	-0.06077	-0.06107	-0.06097	-0.06080	-0.06072	-0.06029	-0.06108	-0.06068	-0.06186	-0.06070	-0.06095	-0.06043	-0.06084	-0.06053	-0.06017	-0.05835	-0.06051	-0.06102	-0.06045	-0.06047	-0.06046	-0.06065	-0.06038	-0.06050	-0.06018	-0.06066	-0.06048	-0.06092	-0.06227	Wake too large! -> Pt pitot is used for pt0; Wake not in center of rake!; cpt_wake < 0; 
       4	  -2.000	     NaN	     NaN	     NaN	0.300000	     NaN	     NaN	     NaN	    0.00	   0.000	3.271E+5	   0.087	  542.00	   30.01	   232.0	 1011.52	   19.54	-0.06146	-0.06086	-0.06165	-0.06118	-0.06190	-0.06106	-0.06183	-0.06146	-0.06039	-0.06333	-0.06105	-0.06128	-0.06086	-0.06087	-0.06169	-0.06138	-0.06237	-0.06236	-0.05962	-0.06215	-0.06122	-0.06093	-0.06214	-0.06091	-0.06144	-0.06199	-0.06088	-0.06088	-0.06122	-0.06116	-0.06088	-0.06127	-0.06122	-0.06149	-0.06107	-0.06112	-0.06138	-0.06130	-0.06114	-0.06103	-0.06055	-0.06139	-0.06098	-0.06220	-0.06096	-0.06129	-0.06073	-0.06113	-0.06086	-0.06046	-0.05879	-0.06082	-0.06130	-0.06077	-0.06073	-0.06076	-0.06094	-0.06072	-0.06076	-0.06049	-0.06097	-0.06080	-0.06121	-0.06245	Wake too large! -> Pt pitot is used for pt0; Wake not in center of rake!; cpt_wake < 0; 
       5	  -1.000	     NaN	     NaN	     NaN	0.300000	     NaN	     NaN	     NaN	    0.00	   0.000	3.269E+5	   0.087	  541.17	   29.98	   231.7	 1011.51	   19.54	-0.06120	-0.06068	-0.06142	-0.06096	-0.06171	-0.06080	-0.06161	-0.06119	-0.06013	-0.06317	-0.06083	-0.06097	-0.06061	-0.06060	-0.06150	-0.06110	-0.06225	-0.06224	-0.05931	-0.06199	-0.06094	-0.06070	-0.06188	-0.06061	-0.06117	-0.06181	-0.06061	-0.06065	-0.06101	-0.06092	-0.06069	-0.06110	-0.06092	-0.06124	-0.06082	-0.06088	-0.06116	-0.06107	-0.06082	-0.06080	-0.06038	-0.06120	-0.06072	-0.06200	-0.06075	-0.06105	-0.06050	-0.06095	-0.06061	-0.06022	-0.05861	-0.06060	-0.06106	-0.06054	-0.06050	-0.06052	-0.06067	-0.06044	-0.06053	-0.06021	-0.06075	-0.06058	-0.06103	-0.06238	Wake too large! -> Pt pitot is used for pt0; Wake not in center of rake!; cpt_wake < 0; 
       6	   0.000	     NaN	     NaN	     NaN	0.300000	     NaN	     NaN	     NaN	    0.00	   0.000	3.270E+5	   0.087	  541.58	   29.99	   231.8	 1011.52	   19.54	-0.06171	-0.06108	-0.06187	-0.06134	-0.06219	-0.06118	-0.06209	-0.06165	-0.06051	-0.06363	-0.06123	-0.06137	-0.06106	-0.06101	-0.06204	-0.06152	-0.06266	-0.06270	-0.05961	-0.06252	-0.06134	-0.06106	-0.06234	-0.06102	-0.06154	-0.06231	-0.06096	-0.06106	-0.06144	-0.06135	-0.06104	-0.06154	-0.06136	-0.06164	-0.06116	-0.06125	-0.06153	-0.06151	-0.06126	-0.06117	-0.06068	-0.06155	-0.06114	-0.06250	-0.06116	-0.06148	-0.06096	-0.06139	-0.06105	-0.06056	-0.05899	-0.06097	-0.06144	-0.06093	-0.06093	-0.06083	-0.06104	-0.06082	-0.06093	-0.06067	-0.06114	-0.06094	-0.06141	-0.06285	Wake too large! -> Pt pitot is used for pt0; Wake not in center of rake!; cpt_wake < 0; 
       7	   1.000	     NaN	     NaN	     NaN	0.300000	     NaN	     NaN	     NaN	    0.00	   0.000	3.271E+5	   0.087	  541.86	   30.00	   232.0	 1011.51	   19.54	-0.06097	-0.06036	-0.06119	-0.06063	-0.06153	-0.06052	-0.06136	-0.06095	-0.05973	-0.06303	-0.06048	-0.06068	-0.06034	-0.06036	-0.06133	-0.06087	-0.06200	-0.06205	-0.05889	-0.06180	-0.06065	-0.06039	-0.06167	-0.06028	-0.06084	-0.06163	-0.06026	-0.06035	-0.06072	-0.06059	-0.06034	-0.06083	-0.06065	-0.06097	-0.06048	-0.06057	-0.06082	-0.06080	-0.06057	-0.06043	-0.05997	-0.06086	-0.06039	-0.06181	-0.06044	-0.06078	-0.06022	-0.06072	-0.06032	-0.05987	-0.05814	-0.06022	-0.06071	-0.06021	-0.06020	-0.06010	-0.06027	-0.06014	-0.06024	-0.05990	-0.06042	-0.06022	-0.06071	-0.06219	Wake too large! -> Pt pitot is used for pt0; Wake not in center of rake!; cpt_wake < 0; 
       8	   2.000	     NaN	     NaN	     NaN	0.300000	     NaN	     NaN	     NaN	    0.00	   0.000	3.270E+5	   0.087	  541.66	   30.00	   231.9	 1011.53	   19.54	-0.06038	-0.05973	-0.06056	-0.05998	-0.06092	-0.05985	-0.06077	-0.06032	-0.05909	-0.06250	-0.05986	-0.06007	-0.05965	-0.05969	-0.06074	-0.06025	-0.06139	-0.06145	-0.05815	-0.06128	-0.05997	-0.05971	-0.06106	-0.05965	-0.06025	-0.06101	-0.05959	-0.05970	-0.06010	-0.06002	-0.05965	-0.06022	-0.05998	-0.06030	-0.05986	-0.05994	-0.06020	-0.06020	-0.05986	-0.05979	-0.05938	-0.06021	-0.05971	-0.06121	-0.05983	-0.06015	-0.05959	-0.06004	-0.05970	-0.05926	-0.05760	-0.05960	-0.06007	-0.05957	-0.05956	-0.05946	-0.05963	-0.05950	-0.05956	-0.05929	-0.05979	-0.05961	-0.06005	-0.06134	Wake too large! -> Pt pitot is used for pt0; Wake not in center of rake!; cpt_wake < 0; 
       9	   3.000	     NaN	     NaN	     NaN	0.300000	     NaN	     NaN	     NaN	    0.00	   0.000	3.270E+5	   0.087	  541.79	   30.00	   231.9	 1011.48	   19.54	-0.06369	-0.06307	-0.06399	-0.06334	-0.06438	-0.06310	-0.06420	-0.06364	-0.06232	-0.06601	-0.06318	-0.06340	-0.06299	-0.06302	-0.06414	-0.06344	-0.06487	-0.06490	-0.06129	-0.06475	-0.06327	-0.06307	-0.06449	-0.06293	-0.06351	-0.06453	-0.06287	-0.06303	-0.06343	-0.06336	-0.06293	-0.06359	-0.06334	-0.06366	-0.06320	-0.06323	-0.06350	-0.06355	-0.06323	-0.06311	-0.06267	-0.06348	-0.06311	-0.06467	-0.06314	-0.06346	-0.06295	-0.06347	-0.06301	-0.06255	-0.06091	-0.06290	-0.06337	-0.06282	-0.06287	-0.06275	-0.06288	-0.06286	-0.06278	-0.06261	-0.06312	-0.06291	-0.06338	-0.06477	Wake too large! -> Pt pitot is used for pt0; Wake not in center of rake!; cpt_wake < 0; 
      10	   4.000	     NaN	     NaN	     NaN	0.300000	     NaN	     NaN	     NaN	    0.00	   0.000	3.270E+5	   0.087	  541.78	   30.00	   231.9	 1011.50	   19.54	-0.06292	-0.06223	-0.06321	-0.06249	-0.06354	-0.06234	-0.06334	-0.06285	-0.06147	-0.06535	-0.06233	-0.06255	-0.06216	-0.06221	-0.06337	-0.06269	-0.06412	-0.06416	-0.06042	-0.06396	-0.06251	-0.06226	-0.06373	-0.06212	-0.06266	-0.06367	-0.06201	-0.06221	-0.06267	-0.06253	-0.06212	-0.06277	-0.06248	-0.06284	-0.06234	-0.06246	-0.06266	-0.06271	-0.06243	-0.06228	-0.06183	-0.06267	-0.06229	-0.06391	-0.06233	-0.06269	-0.06212	-0.06267	-0.06223	-0.06169	-0.05993	-0.06208	-0.06258	-0.06200	-0.06208	-0.06196	-0.06214	-0.06202	-0.06196	-0.06178	-0.06231	-0.06212	-0.06259	-0.06401	Wake too large! -> Pt pitot is used for pt0; Wake not in center of rake!; cpt_wake < 0; 
      11	   5.000	     NaN	     NaN	     NaN	0.300000	     NaN	     NaN	     NaN	    0.00	   0.000	3.270E+5	   0.087	  541.64	   30.00	   231.9	 1011.50	   19.54	-0.06261	-0.06186	-0.06284	-0.06214	-0.06324	-0.06198	-0.06302	-0.06253	-0.06109	-0.06507	-0.06199	-0.06219	-0.06176	-0.06183	-0.06308	-0.06237	-0.06377	-0.06381	-0.06001	-0.06364	-0.06207	-0.06192	-0.06338	-0.06177	-0.06226	-0.06337	-0.06161	-0.06186	-0.06237	-0.06217	-0.06176	-0.06248	-0.06212	-0.06251	-0.06201	-0.06205	-0.06229	-0.06239	-0.06204	-0.06187	-0.06149	-0.06236	-0.06192	-0.06363	-0.06196	-0.06231	-0.06173	-0.06230	-0.06188	-0.06132	-0.05951	-0.06170	-0.06221	-0.06167	-0.06169	-0.06156	-0.06169	-0.06164	-0.06161	-0.06143	-0.06192	-0.06171	-0.06220	-0.06368	Wake too large! -> Pt pitot is used for pt0; Wake not in center of rake!; cpt_wake < 0; 
