   Runnr	   Alpha	      Cn	      Ct	      Cm	      Cd	      Cl	Cl-press	Cd-press	  Z-w.r.	    Flap	      Re	       M	       Q	       V	     Dpb	   P-bar	       T	  Cpt_01	  Cpt_02	  Cpt_03	  Cpt_04	  Cpt_05	  Cpt_06	  Cpt_07	  Cpt_08	  Cpt_09	  Cpt_10	  Cpt_11	  Cpt_12	  Cpt_13	  Cpt_14	  Cpt_15	  Cpt_16	  Cpt_17	  Cpt_18	  Cpt_19	  Cpt_20	  Cpt_21	  Cpt_22	  Cpt_23	  Cpt_24	  Cpt_25	  Cpt_26	  Cpt_27	  Cpt_28	  Cpt_29	  Cpt_30	  Cpt_31	  Cpt_32	  Cpt_33	  Cpt_34	  Cpt_35	  Cpt_36	  Cpt_37	  Cpt_38	  Cpt_39	  Cpt_40	  Cpt_41	  Cpt_42	  Cpt_43	  Cpt_44	  Cpt_45	  Cpt_46	  Cpt_47	  Cpt_48	  Cpt_49	  Cpt_50	  Cps_01	  Cps_02	  Cps_03	  Cps_04	  Cps_05	  Cps_06	  Cps_07	  Cps_08	  Cps_09	  Cps_10	  Cps_11	  Cps_12	  Cps_13	  Cps_14
       /	 degrees	       /	       /	       /	       /	       /	       /	       /	      mm	 degrees	       /	       /	      Pa	     m/s	      Pa	      Pa	  degr_C	    0.00	   12.00	   24.00	   36.00	   42.00	   48.00	   54.00	   60.00	   66.00	   72.00	   75.00	   78.00	   81.00	   84.00	   87.00	   90.00	   93.00	   96.00	   99.00	  102.00	  105.00	  108.00	  111.00	  114.00	  117.00	  120.00	  123.00	  126.00	  129.00	  132.00	  135.00	  138.00	  141.00	  144.00	  147.00	  150.00	  153.00	  156.00	  159.00	  162.00	  165.00	  168.00	  171.00	  174.00	  177.00	  183.00	  189.00	  195.00	  207.00	  219.00	    0.00	   51.00	   63.00	   75.00	   87.00	   99.00	  111.00	  123.00	  135.00	  147.00	  159.00	  171.00	  183.00	  219.00
       1	  -5.000	     NaN	     NaN	     NaN	0.300000	     NaN	     NaN	     NaN	    0.00	   0.000	5.444E+5	   0.146	 1497.03	   49.99	   636.1	 1009.28	   20.35	-0.05848	-0.05857	-0.05854	-0.05827	-0.05856	-0.05849	-0.05840	-0.05852	-0.05843	-0.05848	-0.05821	-0.05831	-0.05849	-0.05843	-0.05845	-0.05855	-0.05837	-0.05841	-0.05846	-0.05855	-0.05859	-0.05860	-0.05869	-0.05850	-0.05858	-0.05835	-0.05841	-0.05862	-0.05850	-0.05851	-0.05854	-0.05860	-0.05858	-0.05842	-0.05853	-0.05852	-0.05848	-0.05849	-0.05850	-0.05854	-0.05841	-0.05859	-0.05848	-0.05840	-0.05861	-0.05848	-0.05833	-0.05840	-0.05860	-0.05837	-0.05751	-0.05838	-0.05858	-0.05847	-0.05860	-0.05851	-0.05837	-0.05847	-0.05834	-0.05857	-0.05848	-0.05846	-0.05854	-0.05880	Wake too large! -> Pt pitot is used for pt0; Wake not in center of rake!; cpt_wake < 0; 
       2	  -4.000	     NaN	     NaN	     NaN	0.300000	     NaN	     NaN	     NaN	    0.00	   0.000	5.438E+5	   0.146	 1495.97	   49.99	   635.7	 1009.28	   20.54	-0.05862	-0.05869	-0.05869	-0.05843	-0.05872	-0.05862	-0.05854	-0.05864	-0.05855	-0.05866	-0.05834	-0.05845	-0.05862	-0.05856	-0.05860	-0.05867	-0.05850	-0.05859	-0.05858	-0.05871	-0.05873	-0.05873	-0.05883	-0.05863	-0.05871	-0.05851	-0.05855	-0.05877	-0.05865	-0.05865	-0.05867	-0.05874	-0.05873	-0.05854	-0.05866	-0.05867	-0.05860	-0.05861	-0.05863	-0.05866	-0.05853	-0.05873	-0.05861	-0.05853	-0.05876	-0.05864	-0.05848	-0.05854	-0.05873	-0.05849	-0.05756	-0.05851	-0.05873	-0.05857	-0.05872	-0.05864	-0.05850	-0.05860	-0.05846	-0.05873	-0.05860	-0.05858	-0.05867	-0.05894	Wake too large! -> Pt pitot is used for pt0; Wake not in center of rake!; cpt_wake < 0; 
       3	  -3.000	     NaN	     NaN	     NaN	0.300000	     NaN	     NaN	     NaN	    0.00	   0.000	5.434E+5	   0.145	 1495.48	   50.00	   635.5	 1009.29	   20.68	-0.05778	-0.05786	-0.05786	-0.05757	-0.05790	-0.05777	-0.05771	-0.05781	-0.05769	-0.05786	-0.05751	-0.05760	-0.05778	-0.05770	-0.05778	-0.05784	-0.05769	-0.05775	-0.05770	-0.05786	-0.05788	-0.05789	-0.05800	-0.05778	-0.05785	-0.05766	-0.05767	-0.05791	-0.05780	-0.05780	-0.05780	-0.05790	-0.05789	-0.05770	-0.05781	-0.05779	-0.05774	-0.05780	-0.05778	-0.05782	-0.05768	-0.05787	-0.05776	-0.05770	-0.05790	-0.05779	-0.05763	-0.05769	-0.05789	-0.05765	-0.05681	-0.05767	-0.05787	-0.05774	-0.05787	-0.05779	-0.05765	-0.05777	-0.05761	-0.05783	-0.05775	-0.05773	-0.05784	-0.05818	Wake too large! -> Pt pitot is used for pt0; Wake not in center of rake!; cpt_wake < 0; 
       4	  -2.000	     NaN	     NaN	     NaN	0.300000	     NaN	     NaN	     NaN	    0.00	   0.000	5.429E+5	   0.145	 1494.60	   49.99	   635.1	 1009.25	   20.81	-0.05743	-0.05748	-0.05749	-0.05719	-0.05754	-0.05742	-0.05733	-0.05745	-0.05732	-0.05755	-0.05713	-0.05723	-0.05740	-0.05734	-0.05742	-0.05747	-0.05732	-0.05740	-0.05731	-0.05752	-0.05751	-0.05754	-0.05763	-0.05740	-0.05748	-0.05731	-0.05729	-0.05754	-0.05743	-0.05743	-0.05745	-0.05755	-0.05751	-0.05734	-0.05744	-0.05742	-0.05737	-0.05740	-0.05741	-0.05743	-0.05729	-0.05751	-0.05738	-0.05735	-0.05755	-0.05742	-0.05725	-0.05732	-0.05753	-0.05727	-0.05649	-0.05731	-0.05750	-0.05737	-0.05751	-0.05741	-0.05726	-0.05738	-0.05724	-0.05742	-0.05738	-0.05736	-0.05746	-0.05778	Wake too large! -> Pt pitot is used for pt0; Wake not in center of rake!; cpt_wake < 0; 
       5	  -1.000	     NaN	     NaN	     NaN	0.300000	     NaN	     NaN	     NaN	    0.00	   0.000	5.425E+5	   0.145	 1493.72	   49.99	   634.7	 1009.24	   20.91	-0.05785	-0.05790	-0.05792	-0.05762	-0.05796	-0.05782	-0.05778	-0.05787	-0.05770	-0.05795	-0.05753	-0.05766	-0.05781	-0.05775	-0.05786	-0.05789	-0.05776	-0.05782	-0.05771	-0.05794	-0.05791	-0.05795	-0.05807	-0.05782	-0.05788	-0.05774	-0.05771	-0.05796	-0.05785	-0.05786	-0.05784	-0.05795	-0.05793	-0.05774	-0.05783	-0.05782	-0.05778	-0.05782	-0.05782	-0.05784	-0.05772	-0.05791	-0.05780	-0.05776	-0.05794	-0.05782	-0.05766	-0.05774	-0.05791	-0.05764	-0.05677	-0.05768	-0.05789	-0.05777	-0.05789	-0.05779	-0.05764	-0.05775	-0.05762	-0.05780	-0.05777	-0.05772	-0.05784	-0.05818	Wake too large! -> Pt pitot is used for pt0; Wake not in center of rake!; cpt_wake < 0; 
       6	  -0.000	     NaN	     NaN	     NaN	0.300000	     NaN	     NaN	     NaN	    0.00	   0.000	5.422E+5	   0.145	 1493.15	   49.98	   634.5	 1009.25	   21.01	-0.05766	-0.05769	-0.05772	-0.05741	-0.05777	-0.05761	-0.05757	-0.05767	-0.05750	-0.05782	-0.05733	-0.05743	-0.05760	-0.05754	-0.05766	-0.05768	-0.05755	-0.05763	-0.05745	-0.05777	-0.05770	-0.05773	-0.05788	-0.05760	-0.05766	-0.05754	-0.05750	-0.05774	-0.05765	-0.05764	-0.05762	-0.05775	-0.05769	-0.05753	-0.05763	-0.05762	-0.05757	-0.05762	-0.05760	-0.05762	-0.05751	-0.05769	-0.05756	-0.05758	-0.05773	-0.05761	-0.05745	-0.05752	-0.05771	-0.05745	-0.05659	-0.05748	-0.05769	-0.05755	-0.05769	-0.05758	-0.05743	-0.05756	-0.05742	-0.05760	-0.05757	-0.05753	-0.05765	-0.05801	Wake too large! -> Pt pitot is used for pt0; Wake not in center of rake!; cpt_wake < 0; 
       7	   1.000	     NaN	     NaN	     NaN	0.300000	     NaN	     NaN	     NaN	    0.00	   0.000	5.418E+5	   0.145	 1492.87	   49.99	   634.4	 1009.23	   21.12	-0.05721	-0.05723	-0.05730	-0.05695	-0.05732	-0.05715	-0.05712	-0.05721	-0.05701	-0.05741	-0.05688	-0.05698	-0.05714	-0.05706	-0.05723	-0.05721	-0.05713	-0.05721	-0.05697	-0.05732	-0.05724	-0.05727	-0.05741	-0.05713	-0.05720	-0.05713	-0.05702	-0.05728	-0.05719	-0.05719	-0.05716	-0.05730	-0.05723	-0.05708	-0.05717	-0.05716	-0.05711	-0.05716	-0.05716	-0.05717	-0.05704	-0.05725	-0.05712	-0.05716	-0.05727	-0.05718	-0.05699	-0.05708	-0.05726	-0.05698	-0.05617	-0.05703	-0.05724	-0.05709	-0.05723	-0.05712	-0.05698	-0.05711	-0.05694	-0.05713	-0.05710	-0.05707	-0.05720	-0.05758	Wake too large! -> Pt pitot is used for pt0; Wake not in center of rake!; cpt_wake < 0; 
       8	   2.000	     NaN	     NaN	     NaN	0.300000	     NaN	     NaN	     NaN	    0.00	   0.000	5.417E+5	   0.145	 1493.28	   50.00	   634.5	 1009.26	   21.20	-0.05716	-0.05716	-0.05721	-0.05689	-0.05727	-0.05709	-0.05705	-0.05715	-0.05693	-0.05738	-0.05680	-0.05693	-0.05707	-0.05701	-0.05717	-0.05716	-0.05708	-0.05718	-0.05686	-0.05727	-0.05717	-0.05721	-0.05739	-0.05706	-0.05712	-0.05709	-0.05694	-0.05720	-0.05713	-0.05712	-0.05709	-0.05724	-0.05717	-0.05700	-0.05709	-0.05710	-0.05703	-0.05711	-0.05708	-0.05708	-0.05696	-0.05716	-0.05704	-0.05710	-0.05720	-0.05710	-0.05692	-0.05703	-0.05719	-0.05693	-0.05599	-0.05694	-0.05717	-0.05701	-0.05717	-0.05703	-0.05689	-0.05703	-0.05686	-0.05708	-0.05703	-0.05702	-0.05712	-0.05744	Wake too large! -> Pt pitot is used for pt0; Wake not in center of rake!; cpt_wake < 0; 
       9	   3.000	     NaN	     NaN	     NaN	0.300000	     NaN	     NaN	     NaN	    0.00	   0.000	5.415E+5	   0.145	 1492.81	   50.00	   634.4	 1009.23	   21.24	-0.05783	-0.05785	-0.05792	-0.05757	-0.05798	-0.05776	-0.05775	-0.05783	-0.05760	-0.05812	-0.05748	-0.05760	-0.05774	-0.05769	-0.05787	-0.05784	-0.05780	-0.05787	-0.05752	-0.05797	-0.05784	-0.05788	-0.05807	-0.05772	-0.05779	-0.05776	-0.05761	-0.05787	-0.05781	-0.05778	-0.05774	-0.05793	-0.05783	-0.05769	-0.05776	-0.05776	-0.05772	-0.05779	-0.05775	-0.05776	-0.05764	-0.05785	-0.05773	-0.05780	-0.05789	-0.05778	-0.05760	-0.05771	-0.05787	-0.05758	-0.05669	-0.05762	-0.05784	-0.05768	-0.05784	-0.05771	-0.05757	-0.05770	-0.05753	-0.05775	-0.05771	-0.05767	-0.05779	-0.05815	Wake too large! -> Pt pitot is used for pt0; Wake not in center of rake!; cpt_wake < 0; 
      10	   4.000	     NaN	     NaN	     NaN	0.300000	     NaN	     NaN	     NaN	    0.00	   0.000	5.414E+5	   0.145	 1492.25	   49.99	   634.1	 1009.25	   21.28	-0.05774	-0.05774	-0.05781	-0.05746	-0.05788	-0.05764	-0.05764	-0.05771	-0.05747	-0.05802	-0.05735	-0.05750	-0.05763	-0.05757	-0.05779	-0.05774	-0.05769	-0.05779	-0.05736	-0.05790	-0.05770	-0.05777	-0.05795	-0.05761	-0.05768	-0.05767	-0.05749	-0.05777	-0.05770	-0.05769	-0.05764	-0.05782	-0.05773	-0.05758	-0.05765	-0.05767	-0.05760	-0.05767	-0.05764	-0.05764	-0.05752	-0.05774	-0.05761	-0.05770	-0.05778	-0.05767	-0.05750	-0.05762	-0.05776	-0.05747	-0.05645	-0.05749	-0.05773	-0.05757	-0.05772	-0.05758	-0.05746	-0.05758	-0.05743	-0.05766	-0.05759	-0.05757	-0.05769	-0.05805	Wake too large! -> Pt pitot is used for pt0; Wake not in center of rake!; cpt_wake < 0; 
      11	   5.000	     NaN	     NaN	     NaN	0.300000	     NaN	     NaN	     NaN	    0.00	   0.000	5.415E+5	   0.145	 1493.57	   50.02	   634.7	 1009.24	   21.32	-0.05765	-0.05764	-0.05773	-0.05736	-0.05781	-0.05754	-0.05756	-0.05765	-0.05739	-0.05797	-0.05725	-0.05743	-0.05752	-0.05748	-0.05772	-0.05763	-0.05762	-0.05771	-0.05721	-0.05783	-0.05761	-0.05767	-0.05788	-0.05751	-0.05758	-0.05761	-0.05738	-0.05768	-0.05763	-0.05760	-0.05753	-0.05775	-0.05763	-0.05752	-0.05757	-0.05757	-0.05750	-0.05759	-0.05758	-0.05755	-0.05744	-0.05766	-0.05754	-0.05763	-0.05770	-0.05759	-0.05742	-0.05755	-0.05768	-0.05739	-0.05651	-0.05743	-0.05765	-0.05749	-0.05763	-0.05749	-0.05734	-0.05749	-0.05733	-0.05756	-0.05752	-0.05749	-0.05762	-0.05800	Wake too large! -> Pt pitot is used for pt0; Wake not in center of rake!; cpt_wake < 0; 
