  Run_nr	   Alpha	    Beta	      CL	      CD	    Cyaw	 Cm_p_qc	      Ct	      Cn	   Cside	 Cm_roll	Cm_pitch	  Cm_yaw	      Cx	      Cy	      Cz	    Cm_x	    Cm_y	    Cm_z	      Fx	      Fy	      Fz	      Mx	      My	      Mz	     DPb	    Pbar	       T	     Rho	       Q	       V	      Re	       M
       /	 degrees	 degrees	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /	       N	       N	       N	      Nm	      Nm	      Nm	      Pa	      Pa	 degr. C	  kg/m^3	      Pa	     m/s	       /	       /
       1	  -5.000	   0.000	 -0.1756	0.035244	 0.01521	-0.23493	0.019810	 -0.1780	0.015206	-0.00089	-0.19044	-0.00074	0.035244	-0.015206	-0.175567	-0.00329	-0.19617	-0.00082	   15.72	   -5.26	  -58.45	   -1.59	  -10.01	   -0.40	  636.10	 1009.28	   20.36	   1.198	  1497.0	   49.99	4.230E+5	   0.146
       2	  -4.000	   0.000	 -0.0867	0.033608	 0.01459	-0.20065	0.027481	 -0.0888	0.014594	-0.00092	-0.17846	-0.00070	0.033608	-0.014594	-0.086656	-0.00324	-0.18393	-0.00076	   15.12	   -5.04	  -27.65	   -1.57	   -9.35	   -0.37	  635.66	 1009.28	   20.54	   1.197	  1495.9	   49.99	4.225E+5	   0.146
       3	  -3.000	   0.000	  0.0054	0.032934	 0.01355	-0.16424	0.033174	  0.0037	0.013548	-0.00103	-0.16516	-0.00066	0.032934	-0.013548	0.005450	-0.00320	-0.17052	-0.00071	   14.75	   -4.68	    3.97	   -1.55	   -8.65	   -0.34	  635.46	 1009.29	   20.69	   1.197	  1495.5	   50.00	4.222E+5	   0.145
       4	  -2.000	   0.000	  0.0970	0.032967	 0.01307	-0.12744	0.036332	  0.0958	0.013074	-0.00108	-0.15139	-0.00064	0.032967	-0.013074	0.096989	-0.00319	-0.15675	-0.00068	   14.62	   -4.51	   35.37	   -1.54	   -7.92	   -0.33	  635.11	 1009.26	   20.81	   1.196	  1494.6	   49.99	4.218E+5	   0.145
       5	  -1.000	   0.000	  0.1856	0.033689	 0.01397	-0.09144	0.036923	  0.1850	0.013968	-0.00107	-0.13769	-0.00068	0.033689	-0.013968	0.185606	-0.00333	-0.14317	-0.00070	   14.77	   -4.82	   66.50	   -1.61	   -7.20	   -0.34	  634.71	 1009.24	   20.91	   1.196	  1493.7	   49.99	4.215E+5	   0.145
       6	  -0.000	   0.000	  0.2732	0.034953	 0.01420	-0.05484	0.034953	  0.2732	0.014204	-0.00103	-0.12314	-0.00073	0.034953	-0.014204	0.273201	-0.00334	-0.12882	-0.00073	   15.10	   -4.90	   97.27	   -1.61	   -6.44	   -0.35	  634.49	 1009.25	   21.01	   1.195	  1493.1	   49.98	4.212E+5	   0.145
       7	   1.000	   0.000	  0.3602	0.036935	 0.01395	-0.01741	0.030643	  0.3608	0.013951	-0.00105	-0.10761	-0.00086	0.036935	-0.013951	0.360195	-0.00334	-0.11362	-0.00084	   15.66	   -4.81	  127.42	   -1.61	   -5.63	   -0.41	  634.38	 1009.23	   21.12	   1.195	  1492.9	   49.99	4.210E+5	   0.145
       8	   2.000	   0.000	  0.4461	0.039357	 0.01358	 0.02047	0.023765	  0.4472	0.013585	-0.00115	-0.09134	-0.00091	0.039357	-0.013585	0.446116	-0.00339	-0.09774	-0.00087	   16.38	   -4.69	  157.26	   -1.64	   -4.79	   -0.42	  634.54	 1009.26	   21.20	   1.194	  1493.3	   50.00	4.209E+5	   0.145
       9	   3.000	   0.000	  0.5290	0.042164	 0.01279	 0.05758	0.014419	  0.5305	0.012785	-0.00120	-0.07505	-0.00093	0.042164	-0.012785	0.529023	-0.00333	-0.08191	-0.00087	   17.25	   -4.41	  186.29	   -1.61	   -3.93	   -0.42	  634.36	 1009.23	   21.24	   1.194	  1492.8	   50.00	4.208E+5	   0.145
