  Run_nr	   Alpha	    Beta	      CL	      CD	    Cyaw	 Cm_p_qc	      Ct	      Cn	   Cside	 Cm_roll	Cm_pitch	  Cm_yaw	      Cx	      Cy	      Cz	    Cm_x	    Cm_y	    Cm_z	      Fx	      Fy	      Fz	      Mx	      My	      Mz	     DPb	    Pbar	       T	     Rho	       Q	       V	      Re	       M
       /	 degrees	 degrees	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /	       N	       N	       N	      Nm	      Nm	      Nm	      Pa	      Pa	 degr. C	  kg/m^3	      Pa	     m/s	       /	       /
       1	  -5.000	   0.000	 -0.1668	0.037707	 0.00704	-0.23764	0.023023	 -0.1695	0.007041	-0.00145	-0.19526	-0.00028	0.037707	-0.007041	-0.166849	-0.00257	-0.20140	-0.00041	    6.00	   -0.88	  -20.07	   -0.45	   -3.73	   -0.07	  231.99	 1011.48	   19.47	   1.204	   542.0	   30.00	2.558E+5	   0.087
       2	  -4.002	   0.000	 -0.0814	0.036307	 0.00670	-0.20258	0.030537	 -0.0838	0.006703	-0.00140	-0.18164	-0.00026	0.036307	-0.006703	-0.081421	-0.00247	-0.18755	-0.00036	    5.81	   -0.84	   -9.35	   -0.43	   -3.46	   -0.06	  231.82	 1011.51	   19.50	   1.204	   541.5	   29.99	2.556E+5	   0.087
       3	  -2.998	   0.000	  0.0070	0.035823	 0.00691	-0.16672	0.036140	  0.0051	0.006910	-0.00123	-0.16800	-0.00029	0.035823	-0.006910	0.007006	-0.00234	-0.17383	-0.00036	    5.70	   -0.86	    1.63	   -0.41	   -3.20	   -0.06	  231.86	 1011.51	   19.53	   1.204	   541.6	   30.00	2.556E+5	   0.087
       4	  -2.000	   0.000	  0.0957	0.036080	 0.00733	-0.13006	0.039397	  0.0943	0.007330	-0.00130	-0.15364	-0.00021	0.036080	-0.007330	0.095665	-0.00249	-0.15951	-0.00026	    5.69	   -0.92	   12.66	   -0.44	   -2.93	   -0.04	  232.01	 1011.52	   19.54	   1.204	   542.0	   30.01	2.557E+5	   0.087
       5	  -1.000	   0.000	  0.1829	0.037089	 0.00768	-0.09384	0.040276	  0.1823	0.007676	-0.00114	-0.13940	-0.00024	0.037089	-0.007676	0.182945	-0.00238	-0.14544	-0.00026	    5.78	   -0.96	   23.76	   -0.42	   -2.65	   -0.05	  231.65	 1011.51	   19.54	   1.204	   541.1	   29.98	2.555E+5	   0.087
       6	   0.000	   0.000	  0.2701	0.038951	 0.00849	-0.05795	0.038951	  0.2701	0.008492	-0.00105	-0.12548	-0.00037	0.038951	-0.008492	0.270132	-0.00243	-0.13182	-0.00037	    5.98	   -1.06	   34.90	   -0.43	   -2.40	   -0.06	  231.83	 1011.51	   19.54	   1.204	   541.6	   29.99	2.556E+5	   0.087
       7	   1.000	   0.000	  0.3572	0.041008	 0.00819	-0.02083	0.034768	  0.3579	0.008187	-0.00116	-0.11030	-0.00048	0.041008	-0.008187	0.357232	-0.00250	-0.11697	-0.00046	    6.20	   -1.02	   45.88	   -0.44	   -2.11	   -0.08	  231.95	 1011.51	   19.54	   1.204	   541.8	   30.00	2.557E+5	   0.087
       8	   2.000	   0.000	  0.4435	0.043402	 0.00758	 0.01644	0.027899	  0.4447	0.007576	-0.00101	-0.09473	-0.00054	0.043402	-0.007576	0.443468	-0.00226	-0.10180	-0.00050	    6.45	   -0.95	   56.71	   -0.40	   -1.82	   -0.09	  231.86	 1011.53	   19.54	   1.204	   541.6	   30.00	2.556E+5	   0.087
       9	   3.000	   0.000	  0.5275	0.046188	 0.00825	 0.05392	0.018516	  0.5292	0.008251	-0.00105	-0.07839	-0.00048	0.046188	-0.008251	0.527537	-0.00242	-0.08590	-0.00043	    6.76	   -1.03	   67.43	   -0.42	   -1.51	   -0.08	  231.92	 1011.49	   19.54	   1.204	   541.8	   30.00	2.556E+5	   0.087
      10	   4.000	   0.000	  0.6081	0.049466	 0.00873	 0.09037	0.006930	  0.6100	0.008731	-0.00104	-0.06214	-0.00046	0.049466	-0.008731	0.608068	-0.00249	-0.07019	-0.00038	    7.14	   -1.09	   77.68	   -0.44	   -1.20	   -0.07	  231.91	 1011.50	   19.54	   1.204	   541.8	   30.00	2.556E+5	   0.087
      11	   5.000	   0.000	  0.6877	0.053115	 0.00897	 0.12759	-0.007024	  0.6897	0.008966	-0.00108	-0.04484	-0.00049	0.053115	-0.008966	0.687702	-0.00258	-0.05348	-0.00039	    7.58	   -1.12	   87.58	   -0.45	   -0.88	   -0.07	  231.85	 1011.50	   19.54	   1.204	   541.6	   30.00	2.556E+5	   0.087
      12	   6.000	   0.000	  0.7634	0.057466	 0.00829	 0.16300	-0.022643	  0.7652	0.008286	-0.00097	-0.02830	-0.00056	0.057466	-0.008286	0.763381	-0.00238	-0.03765	-0.00046	    8.11	   -1.04	   97.03	   -0.42	   -0.58	   -0.08	  231.88	 1011.50	   19.54	   1.204	   541.7	   30.00	2.556E+5	   0.087
