  Run_nr	    Time	   Alpha	    Beta	   P_bar	       T	      B1	      B2	      B3	      B4	      B5	      B6
       /	   H:M:S	 degrees	 degrees	     hPa	 degr._C	   steps	   steps	   steps	   steps	   steps	   steps
       0	 15:29:51	  -0.000	  -9.995	 1010.16	   20.04	    -0.8	     0.0	     0.0	     0.0	     0.0	     0.0
       0	 15:30:22	  -0.000	  -9.005	 1010.11	   20.03	    -4.1	    -0.0	    -1.0	     0.5	     2.4	    -0.8
       0	 15:30:48	  -0.000	  -7.995	 1010.09	   20.02	    -5.5	     3.6	    -1.5	     0.9	     3.5	    -1.0
       0	 15:31:08	  -0.000	  -7.000	 1010.07	   20.02	    -6.0	     6.2	    -2.5	     0.8	     5.5	    -2.4
       0	 15:31:30	  -0.000	  -6.000	 1010.08	   20.01	    -9.5	     9.4	    -3.5	     1.1	     6.4	    -4.6
       0	 15:31:49	  -0.000	  -5.005	 1010.11	   20.00	   -19.7	    15.3	    -4.5	     1.6	     7.5	    -7.0
       0	 15:32:07	  -0.000	  -4.000	 1010.11	   20.00	   -25.9	    19.8	    -5.2	     2.0	     8.4	    -8.8
       0	 15:32:26	  -0.000	  -3.000	 1010.08	   19.98	   -20.0	    20.0	    -5.3	     2.1	     8.3	    -8.8
       0	 15:32:43	  -0.000	  -2.000	 1010.07	   19.98	   -14.1	    19.7	    -4.5	     2.1	     7.5	    -7.9
       0	 15:33:00	  -0.000	  -0.995	 1010.09	   19.98	   -16.9	    20.4	    -5.2	     2.5	     7.5	    -9.3
       0	 15:33:19	  -0.000	   0.000	 1010.07	   19.98	   -16.7	    23.9	    -5.5	     2.1	     8.6	   -10.2
       0	 15:33:41	  -0.000	   1.005	 1010.10	   19.98	   -15.8	    27.3	    -6.5	     2.5	     8.8	   -10.9
       0	 15:33:57	  -0.000	   1.995	 1010.12	   19.98	   -15.6	    29.4	    -6.4	     3.0	     9.1	   -11.5
       0	 15:34:14	  -0.000	   3.005	 1010.10	   19.96	   -17.0	    31.4	    -7.1	     3.4	     9.1	   -12.8
       0	 15:34:31	  -0.000	   4.000	 1010.09	   19.96	   -15.9	    33.4	    -7.3	     3.5	     9.8	   -12.6
       0	 15:35:07	  -0.000	   5.005	 1010.09	   19.94	   -13.9	    35.2	    -7.5	     3.9	     9.7	   -12.5
       0	 15:35:24	  -0.000	   5.995	 1010.12	   19.94	   -15.0	    38.6	    -8.0	     3.7	    10.6	   -12.8
       0	 15:35:43	  -0.000	   7.000	 1010.12	   19.94	   -12.7	    40.5	    -8.4	     4.5	    10.8	   -13.7
       0	 15:36:04	  -0.000	   8.005	 1010.10	   19.94	   -12.2	    42.1	    -8.5	     4.0	    11.1	   -14.3
       0	 15:36:25	  -0.000	   8.995	 1010.12	   19.92	   -12.4	    44.5	    -9.0	     4.5	    12.0	   -15.1
       0	 15:36:45	  -0.000	  10.000	 1010.11	   19.92	   -12.0	    47.1	    -9.4	     4.6	    12.8	   -16.8
