AoA_deg,AoS_deg,CD,Cy,CL,CMroll,CMpitch,CMyaw
-5,0,0.0061,0.0046,0.0228,-0.0017,0.0013,0.0024
-4,0,0.0068,0.0063,0.0196,-0.0016,-0.0008,0.0026
-3,0,0.0071,0.0046,0.0187,-0.0012,-0.0024,0.0028
-2,0,0.0075,0.0024,0.0176,-0.0009,-0.0045,0.0031
-1,0,0.0078,0.0009,0.0169,-0.0008,-0.0059,0.0032
0,0,0.008,0.0,0.0162,-0.0006,-0.0065,0.0032
1,0,0.0082,0.0003,0.0144,-0.0008,-0.0071,0.0031
2,0,0.0083,-0.0002,0.013,-0.0006,-0.0073,0.003
3,0,0.0082,-0.0011,0.0108,-0.0005,-0.0066,0.0031
4,0,0.0082,0.0,0.0087,-0.0008,-0.0059,0.0029
5,0,0.008,-0.001,0.006,-0.0007,-0.0048,0.003
6,0,0.0074,-0.0035,0.0046,-0.0001,-0.0039,0.0032
7,0,0.0062,-0.0037,0.0061,0.0005,-0.0022,0.0033
8,0,0.0046,-0.0049,0.0067,0.0008,-0.0002,0.0035
9,0,0.0076,-0.006,-0.009,0.0008,-0.001,0.0036
10,0,0.0095,-0.0051,-0.0099,0.0014,-0.0036,0.003
11,0,0.0086,-0.005,0.0052,0.0015,-0.0011,0.0028
12,0,0.0091,-0.0051,0.0169,0.002,-0.0017,0.0026
13,0,0.0121,-0.0049,0.0294,0.0025,-0.0084,0.0023
