AoA,AoS,V,CL,CD
-0.005,0.0,19.99450026076271,0.23019971427246644,0.05969116963937163
0.001,0.0,19.99868891814654,0.23292484856809392,0.060211606258922336
0.002,0.0,20.00215680258254,0.22554109743586148,0.05991050181196911
0.005,0.0,19.99491341175153,0.228994399345718,0.06023771964378309
2.493,0.0,19.99474105116046,0.4947800482887017,0.06584750964584409
2.5,0.0,19.99076206247542,0.5011540573493163,0.06568206690654306
5.0,0.0,19.990265812220706,0.7591497309329562,0.07665943709056046
6.0,0.0,19.99391843057544,0.8606180606016918,0.08260459620195942
7.0,0.0,19.990963650847053,0.9455325528447398,0.09048594352364331
8.0,0.0,19.992291090671785,1.014650758646443,0.10055389604405035
9.0,0.0,19.992303530493327,1.0661374988480565,0.11377282160120122
10.0,0.0,19.98846108101172,1.1170716832207903,0.12736229717741915
11.0,0.0,19.987629882567173,1.169594411699867,0.14198013518176078
12.0,0.0,19.986404622187326,1.2331971839720564,0.16293331124529767
13.0,0.0,19.98949947175197,1.2655567126366853,0.18574314038991246
14.0,0.0,19.99220514874067,1.2494703762757875,0.2215168554320194
