config,de,dr,run,AoA,AoS,V,Re,rpsM2,J,CL,CD,CM25c,CYaw
tailOff_beta0_balance,NaN,NaN,1,-5,0,30.0016648522831,329158.11330751,0,Inf,NaN,NaN,NaN,NaN
tailOff_beta0_balance,NaN,NaN,2,-4.002,0,29.9917228825605,328998.960006295,0,Inf,-0.0776836799356513,0.0480520772577739,-0.19551649684141,0.00787451811294589
tailOff_beta0_balance,NaN,NaN,3,-2.998,0,29.9958570344123,328984.483574307,0,Inf,0.0154342167320887,0.0474560370163059,-0.174271726745,0.00786783148936773
tailOff_beta0_balance,NaN,NaN,4,-2,0,30.005957877614,329078.574533534,0,Inf,0.108601425048197,0.0476084788488101,-0.155210149458319,0.00800952150453366
tailOff_beta0_balance,NaN,NaN,5,-1,0,29.9827328195722,328820.612028913,0,Inf,0.202532716720559,0.0486680294828927,-0.137797495033019,0.00822696608272466
tailOff_beta0_balance,NaN,NaN,6,0,0,29.9944217449252,328948.804465929,0,Inf,0.296735593393079,0.0506416405726988,-0.12214478368393,0.00889594355426138
tailOff_beta0_balance,NaN,NaN,7,1,0,30.00221187793,329034.238849708,0,Inf,0.390048812877929,0.0527875706837959,-0.107302087944336,0.00839293106535603
tailOff_beta0_balance,NaN,NaN,8,2,0,29.996072918382,328973.417355982,0,Inf,0.481548330002416,0.0553049359902398,-0.0957557725472456,0.00761888166044081
tailOff_beta0_balance,NaN,NaN,9,3,0,30.0005611241675,329009.629589201,0,Inf,0.57172897534347,0.0583387926136374,-0.0863705987900864,0.00812953877275953
tailOff_beta0_balance,NaN,NaN,10,4,0,29.9997636799393,329004.136827825,0,Inf,0.658873038967637,0.0618642457275348,-0.0791112793427702,0.00831329322473371
tailOff_beta0_balance,NaN,NaN,11,5,0,29.9958685114505,328961.418939774,0,Inf,0.742510607997358,0.0659739644334991,-0.0727775941597595,0.00836998789376327
tailOff_beta0_balance,NaN,NaN,12,6,0,29.9978161577644,328982.778564509,0,Inf,0.821393499977734,0.0707309744739625,-0.0681914149747092,0.0077926644299863
tailOff_beta0_balance,NaN,NaN,13,7,0,29.9935679836525,328929.685373677,0,Inf,0.893937590996708,0.0763339018672242,-0.0626032012233081,0.00567065765848588
tailOff_beta0_balance,NaN,NaN,14,8,0,29.9959606508081,328946.168303454,0,Inf,0.954372390771618,0.0832457420982018,-0.0568275684368679,0.00434859468853357
tailOff_beta0_balance,NaN,NaN,15,9,0,30.0021559971065,329020.614423016,0,Inf,0.990568443925264,0.0930113984154357,-0.0553193305337666,0.00478035964657449
tailOff_beta0_balance,NaN,NaN,16,10,0,29.9971108678692,328962.034333419,0,Inf,0.998209819928613,0.10744885050934,-0.0653939078293977,0.0035239220920118
